isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,project_prf_case_tool_used,process_pmf_development_methodologies,process_pmf_prototyping_used,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_client_roles,tech_tf_server_roles,tech_tf_type_of_server,tech_tf_type_of_server.1,tech_tf_client/server_description,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_project_user_involvement,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_1_yr,people_prf_it_experience_1_to_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency,project_prf_currency_multiple
11497,a,2009,electronics & computers,food processing,business application,analysis management,new development,proprietary,4gl,oracle,574.0,m2,2232,1466,0.8,0.9,,204.9,,7.3,,,,agile development,,14,multi-tier with web public interface,yes,,,,,,web,yes,0,,,,6.0,,,,,,,,0.0,,,"canada, dollar",
26861,b,2012,banking,government,,customer billing/relationship management,enhancement,proprietary,5gl,proprietary agile platform,129.0,s,2075,1488,9.5,10.1,,138.8,67.0,1.2,,13.0,,agile development,,1,multi-tier with web public interface,,,,,,,web,,0,,,,,,,,,,,19.0,,,132208.0,,no
18118,b,2014,banking,"education institution;electricity, gas, water;ieee",business application,surveillance and security,enhancement,pc,3gl,c#,3.0,m1,9,9,22.7,,,1.9,1.8,3.9,1,3.0,,agile development,,20,stand alone,,,,,,,,yes,0,,,,,,,,,6.0,,,,,,"european, euro",
31969,a,2009,electronics & computers,community services;institutions eg. kindergartens,business application,hospital information system,enhancement,proprietary,4gl,java,628.0,m1,9854,5639,6.6,7.7,,249.6,,3.8,,20.0,yes,agile development,,2,multi-tier with web public interface,yes,,,,,,web,,0,,,,2.0,,,,,,1.0,,,,,,
19161,b,2011,government,surveillance & security,business application,business application,re-development,multi,4gl,proprietary agile platform,56.0,m1,7488,5398,51.1,52.1,,48.4,6.9,1.4,41-50,,,agile development,,1,client server,,,security/authentication,,,,,yes,0,,6.0,1.0,,,,,,,4.0,,,,115935.0,"european, euro",no
13026,b,2011,medical & health care,government,business application,electronic data interchange,enhancement,proprietary,5gl,java,465.0,m1,15103,7517,4.1,5.1,0.6,354.8,,2.6,3-4,24.0,,agile development,,1,,,,,,,,web,yes,0,,,,,,,,,,,,,,83003.0,,
30621,b,2015,banking,banking,business application,auditing management,new development,pc,3gl,c#,58.0,s,174,100,6.0,7.1,0.0,59.2,26.3,1.7,,3.0,,agile development,,13,stand alone,,web/html browser,,,,,,,0,,,,6.0,,,,,12.0,,,,,119013.0,"canada, dollar",
14535,a,2013,government,community services,business application,business application,enhancement,proprietary,3gl,oracle,138.0,xs,12127,5553,48.3,49.3,,155.9,171.2,1.5,3-4,8.0,no,agile development,,5,,yes,,,,,,,,0,,,0.0,2.0,,,,1.0,,,,,,83757.0,"european, euro",
18328,b,2012,service industry,government,business application,business application,enhancement,proprietary,3gl,c#,52.0,s,3102,2650,17.3,,7.0,1.6,0.4,16.9,,4.0,,agile development;extreme programming xp;iterative;rapid application development rad;scrum;timeboxing;unified process;imes oom,yes,1,stand alone,,web/html browser,,,,,,yes,0,,,,10.0,,,,,,,,0.0,,,,
32692,a,2011,medical & health care,public sector,business application,hospital information system,new development,,5gl,c++,384.0,l,708,561,2.6,3.4,,248.1,,3.2,3-4,13.0,yes,agile development;personal software process psp;unified process,yes,20,multi-tier with web public interface,,,multi-user legacy application,,,,web,,0,,,,,,,,,,1.0,,,,,"european, euro",no
27333,b,2010,manufacturing,education institution,business application,business application,enhancement,proprietary,4gl,proprietary agile platform,234.0,s,7733,4759,10.2,11.1,0.8,29.4,25.5,10.8,9-14,,,agile development,,1,client server,,,,,,,,yes,0,,,,3.0,,,,,,,,,,142883.0,,
11801,b,2015,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,3.0,xs,9,9,14.0,15.7,0.4,,0.3,9.1,1,2.0,,agile development,,20,stand alone,,,,,,,,yes,0,,,,,,,,,,,,0.0,,73539.0,,
30029,b,2007,medical & health care,government,business application,content management system;dynamic website,new development,proprietary,4gl,java,274.0,m1,3281,2381,0.6,0.6,,238.6,76.0,7.5,9-14,11.0,,agile development,,1,multi-tier with web public interface,,,,,,,web,yes,0,,,,,,,,,,,,,,,,
11801,b,2014,banking,government,business application,surveillance and security,enhancement,pc,3gl,c#,18.0,xs,23,33,4.3,4.9,,34.9,,3.1,1,,,agile development;joint application development jad;multifunctional teams,,1,client server,,,,,,,,yes,0,,,,,,,,,,,,,,67303.0,,
26195,b,2009,banking,government,business application,surveillance and security,enhancement,pc,3gl,c#,,l,6528,3776,8.6,10.2,,33.0,,16.2,,3.0,,agile development,,4,stand alone,,,data acquisation,,,,web,yes,1,,,,,,,,,,4.0,,0.0,0.0,,,
14621,b,2014,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,workflow support & management;complex process control,enhancement,,4gl,c#,18.0,xs,631,288,11.1,12.3,2.5,,6.9,4.9,1,,,agile development,,2,stand alone,,,,,,,,,0,,,,,,,,0.0,,,,,,,,
15011,a,2009,education,"education institution;electricity, gas, water;ieee",business application,data or database management,new development,proprietary,4gl,proprietary agile platform,353.0,m2,7962,5123,8.1,9.2,,153.3,142.7,3.6,61-70,,,agile development,,1,multi-tier with web public interface,yes,run a computer-human interface;data entry & validation;data retrieval & presentation;web/html browser;security,html/web server;security/authentication,,,,,,0,,,,,,,,0.0,,,,0.0,0.0,,,no
27500,b,2011,wholesale & retail,government;community services,business application,catalogue/register of things or events,new development,,3gl,java,78.0,m1,3162,1870,20.6,21.4,,372.8,,0.8,2,29.0,,agile development,,1,multi-tier with web public interface,,,,,,,web,,0,,,,5.0,,,,,,,,,,,"european, euro",
17548,b,2013,government,community services;government;public administration,business application,data or database management,enhancement,,5gl,java,8.0,xs,213,180,34.3,36.2,,,,1.2,,14.0,,agile development,,3,multi-tier with web public interface,,data entry & validation;data retrieval & presentation;web/html browser,,,,,,,0,,,,,,,,,,,,,,,"canada, dollar",no
21719,b,2011,government,government,,business application,enhancement,,3gl,c#,94.0,s,4399,2974,14.8,16.1,,38.5,7.2,14.5,,4.0,,agile development,,1,multi-tier with web public interface,,,,,,,web,yes,0,,,,,,,,,4.0,1.0,,0.0,,,,no
27970,b,2012,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,3.0,xs,9,9,0.6,0.6,84.8,0.2,,11.7,1,2.0,,agile development,,4,stand alone,,,,,,,,yes,1,,,,,,,,,,,,,,,,
19161,a,2007,service industry,government,business application,project management,new development,,4gl,proprietary agile platform,743.0,s,28063,16713,14.4,15.8,,89.9,57.5,14.9,2,9.0,,agile development,,1,multi-tier with web public interface,yes,web/html browser,database server;html/web server,,,,web,yes,0,,,,,,,,,,4.0,,0.0,0.0,142163.0,,
22069,b,2011,manufacturing,community services;institutions eg. kindergartens,business application,surveillance and security,enhancement,,3gl,proprietary agile platform,20.0,m1,11,14,0.9,1.1,11.0,8.1,6.5,11.9,1,,,agile development,,3,,,,,,,,,yes,0,,,,,,,,,,,,,,,,
15148,b,2011,government,government,business application,catalogue/register of things or events,new development,pc,3gl,c#,,m1,15702,7829,2.8,,,278.3,87.7,10.8,,11.0,,agile development,,10,multi-tier with web public interface,,,multi-user legacy application,,,,,,0,,,,,,,,,,,,,1.0,,"european, euro",
14621,a,2011,government,government,,surveillance and security,new development,pc,3gl,c#,157.0,s,5756,4060,8.6,10.1,11.0,15.1,12.1,11.5,9-14,,,agile development,,1,stand alone,yes,web/html browser,,,,,,yes,0,,0.0,,,,,,0.0,,3.0,,0.0,,,,
32010,b,2013,education,education institution,business application,electronic data interchange,enhancement,,5gl,java,217.0,s,6421,3184,30.3,31.7,,150.7,,0.9,,39.0,,agile development,,3,multi-tier with web public interface,,run a computer-human interface;business logic or rule processing;database server,,,,,,,0,,,,,,,,1.0,,,,,0.0,,,no
30367,a,2013,banking,government,business application,surveillance and security,enhancement,pc,3gl,c#,241.0,s,369,216,2.0,2.7,,77.7,,2.1,,,yes,agile development,,20,,yes,,,,,,web,yes,0,,,,3.0,,,,,,,10.0,,,,"canada, dollar",
22347,c,2011,medical & health care,education institution,,course management,enhancement,multi,5gl,proprietary agile platform,125.0,m2,855,722,21.3,22.6,1.8,102.5,33.9,2.2,2,10.0,yes,agile development,,15,multi-tier with web public interface,yes,,security/authentication,,,,web,,0,,0.0,0.0,,,,,2.0,,2.0,8.0,0.0,,,,
32725,a,2009,electronics & computers,aerospace / automotive,business application,catalogue/register of things or events;logistic or supply planning & control,new development,,3gl,proprietary agile platform,326.0,m1,4043,1936,1.3,1.7,46.2,104.7,85.6,13.6,2,7.0,,agile development,,5,multi-tier with web public interface,,,,,,,web,yes,0,,,,,,,,,,24.0,,0.0,0.0,,,
26034,a,2010,banking,government,,clinical archive,enhancement,pc,4gl,c#,664.0,m2,226,64,0.5,0.5,,234.7,111.2,10.9,5-8,,no,agile development,,20,,,web/html browser,,,,,web,yes,0,,0.0,4.0,2.0,,,,,,1.0,,0.0,,,,
30029,b,2013,medical & health care,"government;real estate & property;education institution;manufacturing;construction;wholesale & retail trade;transport & storage;communications;medical and health care;community services;defence;financial, property & business services;banking;professional",business application,auditing management,new development,pc,5gl,java,128.0,s,10,10,0.6,0.6,,222.6,,2.1,1,,,agile development,,12,,,,,,,,web,,0,,,,5.0,,,,,,,,,,207775.0,"european, euro",no
30466,b,2010,manufacturing,education institution,business application,business application,new development,proprietary,3gl,c++,6.0,m1,34,60,4.2,4.7,,0.7,,16.3,41-50,,,agile development,,1,,,,,,,,,yes,0,,,,12.0,,,,,,,,0.0,,42115.0,,
19363,b,2011,education,"financial, property & business services",,project management,new development,proprietary,4gl,c#,636.0,m2,5051,2753,6.9,7.6,0.2,148.2,,1.4,9-14,22.0,yes,agile development,yes,6,multi-tier with web public interface,,,,,,,web,,0,,,,4.0,,,,0.0,,,,,,,,no
25247,b,2012,service industry,transport & storage,business application,automated data acquisition,new development,pc,3gl,java,4.0,xs,17,16,13.9,14.9,,13.1,6.9,1.1,,,,agile development,,4,,yes,,,,,,web,yes,0,,,,,,,,,,,,0.0,,,"european, euro",no
19161,b,2014,education,"financial, property & business services",business application,electronic data interchange,enhancement,pc,5gl,proprietary agile platform,17.0,m1,10,13,25.1,25.9,,24.2,64.6,1.6,,5.0,,agile development,,9,multi-tier with web public interface,,,,,,,,,0,,,,5.0,,,,,,,,,,,,no
30658,b,2008,education,high tech,business application,auditing management,re-development,pc,3gl,.net,134.0,l,804,794,1.4,1.9,,13.1,1.4,14.8,2,5.0,yes,agile development,,19,,,run a computer-human interface;business logic or rule processing;data entry & validation;data retrieval & presentation,database server;html/web server,,,,web,yes,2,,0.0,0.0,,,,,1.0,6.0,2.0,33.0,0.0,1.0,113618.0,"canada, dollar",
26034,b,2012,banking,"education institution;electricity, gas, water;ieee",business application,auditing management,enhancement,pc,4gl,c#,33.0,m1,705,377,8.2,9.0,5.4,14.8,0.6,3.8,1,4.0,,agile development,,16,client server,,run a computer-human interface;data entry & validation;data retrieval & presentation;web/html browser;security,,,,,,yes,0,,,5.0,,,,,,12.0,,,,,64142.0,,
21837,b,2014,government,government,business application,business application,enhancement,multi,4gl,java,12.0,xs,1478,1220,55.4,57.0,,12.8,3.3,,5-8,,,agile development,,1,,,,html/web server;multi-user legacy application,,,,,,0,,,,,,,,1.0,,,,,,,"canada, dollar",no
14319,b,2012,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,auditing management,enhancement,mr,5gl,c#,6.0,xs,302,387,24.7,25.4,,3.2,6.4,2.2,1,19.0,,agile development,,1,multi-tier with web public interface,,,,,,,,,0,,,,,,,,,,,,,,,,no
16039,a,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,,business application,enhancement,pc,3gl,c#,87.0,xs,1279,660,12.4,13.6,,74.7,135.2,1.3,1,2.0,yes,agile development,,12,,,,,,,,,yes,1,,,,0.0,,,,,,,,,0.0,,"canada, dollar",no
31166,b,2013,banking,government,infrastructure software,surveillance and security,enhancement,pc,4gl,c#,955.0,m1,5544,2063,0.6,0.7,,268.7,311.4,2.9,,5.0,no,agile development,,20,stand alone,,run a computer-human interface;data entry & validation;data retrieval & presentation;web/html browser;security,,,,,,yes,0,,,4.0,4.0,,,,4.0,,,,0.0,,133688.0,"european, euro",
22069,a,2012,education,surveillance & security,real-time application,"catalogue/register of things or events;customer billing;financial transaction process/accounting;job, case, incident, project management;management or performance reporting;online analysis and reporting;workflow support & management;mathematical modelling",new development,proprietary,5gl,.net,1616.0,m2,13479,6915,0.6,0.8,,455.1,,2.3,,35.0,yes,agile development,,19,multi-tier with web public interface,,data entry & validation;data retrieval & presentation;web/html browser,,,,,web,,0,,,,,,,,,,4.0,28.0,0.0,0.0,,,no
13784,b,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,business application,enhancement,pc,5gl,oracle,9.0,xs,845,555,45.2,44.2,0.6,3.7,1.2,3.7,,,,agile development,,1,stand alone,,,,,,,,,0,,,,9.0,,,,,,,,,,,"european, euro",no
23552,c,2010,government,government,business application,financial transaction process/accounting;management or performance reporting;data warehouse system,enhancement,proprietary,3gl,c#,464.0,m2,3006,1740,6.5,7.5,,52.3,11.5,12.4,1,,no,agile development,,20,,no,run a computer-human interface;business logic or rule processing;database server,,,,,,,1,,,5.0,,,,,,,4.0,,1.0,2.0,,,
31166,a,2010,medical & health care,"education institution;electricity, gas, water;ieee",business application,management information system,new development,pc,3gl,proprietary agile platform,78.0,m1,679,817,9.4,10.4,,36.1,9.7,7.1,,,,agile development,,1,client server,yes,,,,,,,yes,0,,,,,,,,,,2.0,45.0,0.0,,,"european, euro",
19161,a,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,35.0,s,370,311,7.7,9.0,,0.9,0.4,13.4,1,,yes,agile development,,17,stand alone,,data entry & validation;data retrieval & presentation;web/html browser,,,,,,yes,2,,,0.0,3.0,,,,,,,,,,228927.0,,
26861,b,2011,medical & health care,community services;institutions eg. kindergartens,,data or database management,enhancement,pc,5gl,proprietary agile platform,10.0,xxs,9,10,0.7,0.9,,29.5,14.9,2.8,9-14,,,agile development,,4,,,,,,,,,,0,,,,,,,,,,1.0,,,,,,no
14535,b,2012,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,new development,proprietary,4gl,c#,10.0,xs,22,20,13.2,14.0,,1.2,0.5,6.0,,,,agile development,yes,20,stand alone,yes,,,,,,,,0,,,,,,,,0.0,4.0,,37.0,,,51048.0,,
30621,b,2012,service industry,"education institution;electricity, gas, water;ieee",business application,customer billing/relationship management,new development,,5gl,proprietary agile platform,5.0,xs,10,13,16.1,16.7,,12.5,0.7,1.5,21-30,,,agile development,,1,multi-tier with web public interface,,,database server;file &/or print server;html/web server;multi-user legacy application,,,,web,,0,,,,,,,,,6.0,1.0,,0.0,,,,
29471,b,2013,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,business application,enhancement,,4gl,c#,14.0,m2,9,9,0.5,0.5,,3.4,2.4,9.7,1,,,agile development,,12,stand alone,,,,,,,,,0,,,,,,,,,,1.0,,,,,,
30621,b,2009,banking,government,business application,business application,enhancement,pc,3gl,abap,13.0,s,746,662,11.1,12.5,7.9,1.8,,5.9,,3.0,,agile development,,4,client server,,,security/authentication,,,,,yes,2,,,,3.0,,,,,,1.0,,0.0,0.0,,"european, euro",
32296,b,2014,government,medical and health care,business application,auditing management,new development,pc,4gl,c#,488.0,xs,3139,1350,6.4,7.7,,124.5,189.4,3.9,1,7.0,,agile development,,19,,yes,,,,,,,yes,0,,,,,,,,,,,31.0,,,152169.0,"european, euro",
30367,a,2013,education,biotech,mathematically-intensive application,airport management,enhancement,pc,4gl,c#,720.0,l,302,281,0.6,0.6,0.3,228.9,,1.9,1,4.0,yes,agile development,,20,,,,,,,,web,,0,,,,,,,,,,,,,,,"european, euro",no
32725,a,2012,education,"education institution;electricity, gas, water;ieee",,security controls,new development,proprietary,4gl,oracle,84.0,m2,1364,1526,13.1,14.4,,32.1,,4.7,,4.0,no,agile development,,1,client server,,,,,,,web,,0,,,,,,,,,,1.0,,,0.0,,"european, euro",no
14325,b,2010,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,proprietary,3gl,c#,12.0,xs,248,294,8.3,9.8,8.5,1.2,0.3,12.9,,4.0,,agile development,,4,stand alone,,,,,,,,yes,1,,0.0,,,,,,,,3.0,7.0,1.0,,,,
22347,b,2012,government,government,business application,surveillance and security,enhancement,,3gl,c#,3.0,xxs,9,11,15.5,17.2,,0.2,,12.8,5-8,,,agile development,,1,client server,,,,,,,,yes,0,,,,3.0,,,,,,,,,0.0,57417.0,,
27281,a,2011,government,government,,customer relationship management,new development,pc,3gl,c#,685.0,xl,841,729,0.5,0.5,27.8,171.1,86.1,,,,,agile development,,19,client server,,run a computer-human interface;business logic or rule processing;data entry & validation;data retrieval & presentation,,,,,,yes,0,,,,4.0,,,,,,,,1.0,,,"european, euro",no
14621,b,2011,medical & health care,"education institution;electricity, gas, water;ieee",,business application,enhancement,proprietary,3gl,c#,244.0,s,23074,13139,96.8,96.2,,38.4,,11.3,2,,,agile development;personal software process psp;unified process,,1,,yes,,,,,,,,0,,8.0,,,,,,,,,,,,,,
26034,b,2009,banking,public sector,business application,catalogue/register of things or events,enhancement,pc,4gl,.net,62.0,s,322,252,1.2,1.6,,53.5,,12.6,,2.0,,agile development,,1,,yes,,,,,,web,yes,0,,,,,,,,,,,14.0,,,,,no
23552,b,2010,education,government;community services,business application,course management,new development,pc,3gl,oracle,17.0,m1,197,427,5.0,5.8,3.4,20.5,5.9,3.9,3-4,8.0,,agile development,,1,client server,,,database server;html/web server;mail server;security/authentication,,,,web,yes,0,,,5.0,,,,,,,,,,0.0,,"european, euro",no
23552,b,2012,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,business application,new development,,3gl,c#,44.0,m1,5538,4020,41.7,41.7,2.2,18.4,,3.2,2,9.0,,agile development,,1,client server,,,,,,,,yes,0,,,,,,,,0.0,,,,,0.0,,,
30029,c,2009,wholesale & retail,energy,business application,"catalogue/register of things or events;customer billing;financial transaction process/accounting;job, case, incident, project management;management or performance reporting;online analysis and reporting;workflow support & management;mathematical modelling",re-development,proprietary,4gl,proprietary agile platform,1060.0,l,6274,4793,1.5,1.9,,203.5,,4.2,3-4,33.0,yes,agile development,,8,multi-tier with web public interface,,,,,,,web,,0,,,,,,,,,4.0,,,0.0,0.0,,"canada, dollar",no
16563,a,2010,service industry,aerospace / automotive,business application,surveillance and security,new development,pc,3gl,c#,142.0,s,5500,3356,43.2,44.6,0.8,,,7.3,41-50,18.0,no,agile development,,7,,no,,,,,,,yes,1,,,2.0,2.0,,,,2.0,,,,0.0,0.0,,"european, euro",
18820,b,2010,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,business application,enhancement,,3gl,oracle,34.0,s,1693,1631,6.0,7.3,4.5,5.5,,11.6,1,3.0,,agile development,,1,client server,,,,,,,,yes,0,,,4.0,,,,,,,,,,,,,no
13026,b,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,,3gl,c#,6.0,xs,193,189,17.2,18.4,,0.8,3.0,5.0,1,,,agile development,,1,multi-tier with web public interface,,,,,,,web,,0,,,,3.0,,,,,,,,,,,,
32725,d,2012,electronics & computers,community services;institutions eg. kindergartens,business application,security controls,enhancement,pc,4gl,.net,606.0,,2154,1006,2.7,3.6,8.1,470.9,369.2,1.5,2,,no,agile development;personal software process psp;unified process,,20,client server,yes,web/html browser,,,,,,,0,,,,3.0,,,,,6.0,0.0,,,,,"european, euro",
14345,b,2010,banking,"education institution;electricity, gas, water;ieee",infrastructure software,idm,new development,pc,4gl,proprietary agile platform,821.0,m1,31800,20677,5.3,6.5,,353.1,112.1,7.9,3-4,,,agile development,,1,stand alone,,,,,,,,yes,0,,1.0,,,,,,,8.0,4.0,28.0,,0.0,316052.0,,no
31166,a,2009,education,all industry organization types,infrastructure software,analysis management,new development,proprietary,5gl,.net,390.0,m1,1305,799,2.3,2.7,25.6,183.8,289.4,2.4,,,yes,agile development,,16,multi-tier with web public interface,yes,,,,,,web,,0,,,,,,,,,,2.0,,0.0,,,"european, euro",no
31103,b,2011,service industry,government,business application,security/authentication,enhancement,proprietary,5gl,java,574.0,m2,11425,6227,6.0,6.5,,276.3,,1.4,5-8,,,agile development,,1,multi-tier with web public interface,,,html/web server;security/authentication,,,,web,,0,,,,,,,,0.0,,,44.0,,,,"european, euro",no
18820,c,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,business application,enhancement,pc,3gl,proprietary agile platform,296.0,s,94,100,0.5,0.5,,321.5,216.5,1.3,,3.0,,agile development;personal software process psp;unified process,,20,stand alone,yes,,,,,,web,yes,0,,,,,,,,0.0,1.0,4.0,46.0,0.0,,,"united states, dollar",no
17548,b,2011,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,infrastructure software,surveillance and security,enhancement,pc,3gl,.net,8.0,xs,26,32,6.1,6.3,5.6,0.7,0.7,12.1,1,,,agile development,,1,multi-tier with web public interface,,,,,,,web,yes,0,,,,,,,,,,,31.0,,,122335.0,"european, euro",no
10572,b,2010,service industry,transport & storage,business application,content management system;dynamic website,new development,proprietary,3gl,proprietary agile platform,55.0,xxs,3020,2473,8.1,9.0,,14.6,,8.2,,11.0,,agile development,,1,stand alone,,,,,,,,yes,0,,,,,,,,,,,,0.0,,,,no
18118,b,2015,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,,3gl,c#,24.0,s,2024,1224,15.4,16.8,0.0,5.0,,4.1,1,,,agile development,,1,stand alone,,,,,,,,,0,,,,,,,,,,,,,,,,
32692,b,2013,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,4.0,m1,9,10,2.4,3.0,,0.2,3.4,15.9,,2.0,,agile development,,1,stand alone,,,,,,,,,0,,,,,,,,,,,19.0,,,,,
32692,a,2009,electronics & computers,"government;real estate & property;education institution;manufacturing;construction;wholesale & retail trade;transport & storage;communications;medical and health care;community services;defence;financial, property & business services;banking;professional",business application,customer relationship management,new development,,4gl,c#,1672.0,l,5167,3440,0.5,,82.8,588.1,310.8,8.7,,8.0,,agile development;personal software process psp;unified process,,18,multi-tier with web public interface,,,,,,,web,,0,,,,,,,,,6.0,,9.0,0.0,,,"canada, dollar",
23265,a,2009,government,government,business application,surveillance and security,re-development,,3gl,c#,217.0,m2,10980,7217,26.0,27.5,33.5,28.6,,17.7,3-4,,,agile development,,1,,yes,data entry & validation;data retrieval & presentation;web/html browser,,,,,,,2,,,,,,,,1.0,,2.0,42.0,0.0,2.0,163990.0,"european, euro",
18119,a,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,business application,enhancement,,4gl,c#,288.0,s,1753,532,1.8,2.3,0.6,91.4,235.9,2.3,1,7.0,no,agile development,,20,,yes,,,,,,web,yes,0,,,5.0,,,,,5.0,,,,,,,,
18119,c,2007,education,community services;institutions eg. kindergartens,business application,customer relationship management,enhancement,proprietary,3gl,java,489.0,l,14945,8882,33.7,35.1,,87.5,,8.7,3-4,16.0,yes,agile development;personal software process psp;unified process,,20,multi-tier with web public interface,yes,,,,,,web,,1,,0.0,0.0,2.0,,,,1.0,,,,0.0,,,,
19161,b,2011,government,transport & storage,business application,business application,new development,multi,4gl,java,27.0,xxs,472,366,41.9,40.6,,17.3,,5.1,,19.0,,agile development,,1,,,,,,,,,,0,,,,,,,,,9.0,0.0,,0.0,,66600.0,,
32725,b,2008,utilities,"education institution;electricity, gas, water;ieee",business application,content management system;dynamic website,enhancement,pc,3gl,c#,63.0,xxs,229,312,1.8,2.2,92.8,3.3,,18.2,,2.0,,agile development;multifunctional teams;scrum,yes,2,,yes,,,,,,,,1,,,,4.0,,,,,,,,0.0,,155018.0,,
19161,b,2012,education,medical and health care,business application,course management,enhancement,pc,4gl,.net,217.0,xxs,461,473,1.4,1.7,,26.4,104.2,13.1,,,,agile development,,1,client server,,,,,,,,yes,0,,,,,,,,,,,,,,,,
27333,c,2013,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,,content management system;dynamic website,new development,multi,5gl,c#,1269.0,xs,35117,18890,25.5,27.9,0.0,327.4,414.2,2.8,5-8,13.0,yes,agile development,,6,multi-tier with web public interface,yes,,,,,,web,,0,,,,,,,,0.0,,4.0,,0.0,,132371.0,"canada, dollar",no
26195,a,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,7.0,xs,68,72,11.5,12.4,0.0,3.8,,4.3,1,2.0,,agile development,,2,stand alone,,,html/web server;security/authentication,,,,,yes,1,,,,,,,,5.0,,,,,,,"european, euro",
30466,b,2014,service industry,government,business application,surveillance and security,enhancement,multi,3gl,c#,50.0,xs,956,509,39.1,40.6,,18.5,,6.4,1,10.0,,agile development,,19,stand alone,,,,,,,,,0,,,,,,,,0.0,,,,,,,,
10317,a,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,business application,new development,pc,3gl,c#,5.0,xs,11,12,49.0,48.1,,0.5,,2.1,1,2.0,no,agile development;scrum,,20,stand alone,no,,,,,,,,1,,,,,,,,,,4.0,,,,,"canada, dollar",
14525,b,2014,education,"education institution;electricity, gas, water;ieee",business application,business application,enhancement,multi,5gl,c#,28.0,s,80,107,3.9,4.8,2.3,13.2,,3.9,1,7.0,,agile development,,4,stand alone,,,,,,,web,yes,0,,,,,,,,,,,,,,,,
17293,b,2008,electronics & computers,transport & storage,business application,airport management,new development,mr,5gl,abap,39.0,s,3423,2085,43.6,43.5,,77.9,,2.4,2,54.0,,agile development,yes,1,multi-tier with web public interface,,,,,,,,,0,,,,,,,,5.0,,,,,,,,
32010,d,2011,service industry,government,business application,business application,new development,pc,3gl,oracle,414.0,l,1212,1372,3.2,3.9,16.8,243.4,77.2,6.4,,,,agile development;joint application development jad;multifunctional teams,,13,stand alone,yes,,,,,,web,yes,0,,,,,,,,,,18.0,31.0,0.0,,269603.0,"european, euro",
22069,b,2010,government,community services,business application,auditing management,enhancement,pc,3gl,proprietary agile platform,16.0,xs,103,168,2.2,2.7,,2.4,,9.6,1,2.0,,agile development,,1,,,,,,,,,yes,0,,,,3.0,,,,,,,20.0,,,,,
