project_prf_year_of_project,project_prf_application_type,project_prf_functional_size,project_prf_team_size_group,project_prf_max_team_size,process_pmf_docs,tech_tf_tools_used,process_pmf_development_methodologies_agile_development,process_pmf_development_methodologies_joint_application_development_jad,process_pmf_development_methodologies_multifunctional_teams,external_eef_industry_sector_medical_and_health_care,external_eef_organisation_type_biotech,external_eef_organisation_type_medical_and_health_care,external_eef_organisation_type_occupational_health_and_safety,project_prf_development_type_enhancement,project_prf_development_type_new_development,project_prf_relative_size_l,project_prf_relative_size_m1,project_prf_relative_size_m2,project_prf_relative_size_missing,project_prf_relative_size_s,project_prf_relative_size_xs,project_prf_relative_size_xxs,project_prf_cost_currency_european_euro,project_prf_cost_currency_missing,project_prf_cost_currency_united_states_dollar,project_prf_currency_multiple_missing,project_prf_currency_multiple_no
2012,not recorded,17,05-Aug,8,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,52,31-40,31,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,99,51-60,53,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,12,05-Aug,6,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,12,31-40,39,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,39,31-40,36,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,6,21-30,24,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,125,101+,163,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,7,15-20,19,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,12,41-50,44,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,28,15-20,17,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,34,51-60,54,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,4,21-30,26,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,31,51-60,59,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,23,81-90,85,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2010,not recorded,31,15-20,16,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,152,51-60,59,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,77,71-80,78,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,27,21-30,24,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,7,21-30,26,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,16,15-20,20,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,150,101+,150,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2011,not recorded,217,101+,186,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,17,31-40,34,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,4,Sep-14,10,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,34,15-20,18,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,6,31-40,39,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,7,31-40,39,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,91,61-70,67,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,21,05-Aug,7,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,4,21-30,28,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,19,15-20,20,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,90,Sep-14,12,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,13,21-30,28,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2010,not recorded,111,91-100,91,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,17,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,3,31-40,34,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,4,15-20,15,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,83,51-60,51,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,194,41-50,44,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,34,81-90,90,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,92,81-90,85,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,3,71-80,73,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,8,81-90,88,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,6,Sep-14,12,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,24,51-60,58,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,5,Sep-14,13,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,13,71-80,72,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,23,05-Aug,8,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,21,21-30,25,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,3,51-60,51,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,80,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,82,21-30,24,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,172,41-50,44,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,257,101+,152,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,94,15-20,20,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,250,91-100,99,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,6,41-50,46,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,28,61-70,64,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,6,05-Aug,7,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,113,101+,193,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2011,not recorded,7,41-50,47,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,4,Sep-14,10,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,10,21-30,24,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,44,71-80,74,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,5,15-20,15,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,14,15-20,15,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,9,21-30,27,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,7,15-20,18,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,33,15-20,17,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,6,15-20,15,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,44,101+,121,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,7,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,8,Sep-14,13,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,7,15-20,18,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,15,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,8,15-20,20,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,10,Sep-14,12,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,43,61-70,70,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,928,41-50,49,2,0,1,0,0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
2013,not recorded,43,101+,127,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,5,61-70,62,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,27,51-60,52,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,35,41-50,49,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,57,51-60,57,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,35,51-60,53,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,88,15-20,20,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,70,81-90,81,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,14,31-40,35,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,6,31-40,31,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,18,61-70,70,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,53,81-90,82,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,4,31-40,40,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,13,Sep-14,12,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,41,03-Apr,3,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,8,41-50,42,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,41,15-20,17,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,12,101+,139,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,5,15-20,20,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2005,catalogue/register of things or events; complex process control; document management; online analysis and reporting; workflow support & management,826,03-Apr,4,14,1,1,0,0,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
2013,not recorded,27,31-40,32,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,19,41-50,42,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,100,91-100,96,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,4,21-30,29,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2005,web-based app. dotnet,24,15-20,15,0,0,1,0,0,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
2012,not recorded,149,101+,150,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2011,not recorded,18,81-90,82,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,11,31-40,32,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,38,71-80,71,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,4,15-20,16,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,107,31-40,40,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,12,15-20,19,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,6,21-30,24,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2010,not recorded,138,81-90,88,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,37,41-50,46,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,6,81-90,85,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,12,15-20,19,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,137,31-40,33,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,9,Sep-14,13,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,8,61-70,64,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,37,31-40,38,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,19,41-50,46,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,54,101+,104,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,4,Sep-14,9,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,24,31-40,33,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,39,Sep-14,13,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,27,71-80,71,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,34,21-30,29,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,22,101+,104,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,19,61-70,67,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,32,21-30,24,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,12,31-40,34,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,35,81-90,82,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,108,41-50,50,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,22,31-40,32,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,274,91-100,97,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,241,101+,130,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,32,21-30,23,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,21,15-20,20,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,50,41-50,43,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,7,05-Aug,7,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,67,81-90,85,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,13,21-30,30,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,7,31-40,32,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,32,21-30,29,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,7,Sep-14,11,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,32,Sep-14,11,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,4,Sep-14,14,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,6,Sep-14,12,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,30,51-60,59,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,24,81-90,86,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,7,31-40,32,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,32,101+,131,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,12,71-80,75,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,42,31-40,33,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,25,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,5,21-30,25,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,19,41-50,49,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,270,101+,141,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,12,41-50,45,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,26,Sep-14,11,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,47,15-20,20,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,34,71-80,76,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,18,51-60,52,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,7,05-Aug,7,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,27,15-20,16,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,61,41-50,49,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,136,101+,126,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,44,03-Apr,4,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,57,51-60,51,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,74,101+,113,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,9,21-30,30,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2008,system software,24,Missing,36,3,0,1,0,0,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
2012,not recorded,15,31-40,31,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,134,101+,111,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,14,Sep-14,10,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,10,51-60,57,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,22,41-50,49,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,8,41-50,47,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,47,21-30,27,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,26,51-60,52,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2008,hospital information system,2003,61-70,68,17,9,1,1,1,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False
2012,not recorded,107,101+,110,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,29,21-30,30,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,14,21-30,24,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,5,15-20,19,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,120,21-30,26,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,14,21-30,25,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,21,31-40,34,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,9,21-30,25,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,18,Sep-14,14,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,17,21-30,26,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,23,21-30,25,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,10,15-20,18,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2010,not recorded,57,81-90,87,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,78,41-50,44,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,12,05-Aug,6,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,9,Sep-14,9,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,4,31-40,37,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,16,61-70,69,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,134,101+,112,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,5,31-40,33,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,10,41-50,41,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,371,101+,133,2,0,1,0,0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
2013,not recorded,79,41-50,46,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,12,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,63,61-70,62,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,300,101+,109,2,0,1,0,0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
2013,not recorded,364,41-50,46,2,0,1,0,0,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
2011,not recorded,297,101+,118,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,6,15-20,19,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,4,05-Aug,6,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,182,81-90,81,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2013,not recorded,7,05-Aug,6,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,112,41-50,41,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,6,31-40,32,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,21,31-40,37,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,27,15-20,20,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
