project_prf_year_of_project,external_eef_organisation_type,project_prf_application_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_team_size_group,project_prf_max_team_size,process_pmf_docs,tech_tf_tools_used,process_pmf_development_methodologies_agile_development,process_pmf_development_methodologies_iterative,process_pmf_development_methodologies_joint_application_development_jad,process_pmf_development_methodologies_missing,process_pmf_development_methodologies_multifunctional_teams,process_pmf_development_methodologies_rapid_application_development_rad,process_pmf_development_methodologies_scrum,process_pmf_development_methodologies_timeboxing,process_pmf_development_methodologies_unified_process,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,external_eef_industry_sector_government,project_prf_application_group_business_application,project_prf_application_group_infrastructure_software,project_prf_application_group_mathematically_intensive_application,project_prf_application_group_missing,project_prf_application_group_real_time_application,project_prf_development_type_enhancement,project_prf_development_type_new_development,project_prf_development_type_re_development,tech_tf_development_platform_mf,tech_tf_development_platform_mr,tech_tf_development_platform_missing,tech_tf_development_platform_multi,tech_tf_development_platform_pc,tech_tf_development_platform_proprietary,tech_tf_language_type_3gl,tech_tf_language_type_4gl,tech_tf_language_type_5gl,tech_tf_language_type_apg,tech_tf_language_type_missing,project_prf_relative_size_l,project_prf_relative_size_m1,project_prf_relative_size_m2,project_prf_relative_size_missing,project_prf_relative_size_s,project_prf_relative_size_xl,project_prf_relative_size_xs,project_prf_relative_size_xxs,tech_tf_architecture_client_server,tech_tf_architecture_missing,tech_tf_architecture_multi_tier,tech_tf_architecture_multi_tier_with_web_public_interface,tech_tf_architecture_stand_alone,tech_tf_architecture_stand_alone_1,tech_tf_client_server_don_t_know,tech_tf_client_server_missing,tech_tf_client_server_no,tech_tf_client_server_yes,tech_tf_dbms_used_missing,tech_tf_dbms_used_no,tech_tf_dbms_used_yes,project_prf_cost_currency_canada_dollar,project_prf_cost_currency_european_euro,project_prf_cost_currency_missing,project_prf_cost_currency_new_zealand_dollar,project_prf_cost_currency_united_kingdom_pound_sterling,project_prf_cost_currency_united_states_dollar,project_prf_currency_multiple_missing,project_prf_currency_multiple_no,project_prf_currency_multiple_yes_10_000,project_prf_case_tool_used_don_t_know,project_prf_case_tool_used_missing,project_prf_case_tool_used_no,project_prf_case_tool_used_yes
1992,public administration,missing,NATURAL,240,1,1.0,2,0,1,0,0,0,0,0,0,0,0,0,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2006,government,"document management; financial transaction process/accounting; image, video or sound processing",COBOL,247,15-20,15.0,14,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2006,government,"document management; financial transaction process/accounting; image, video or sound processing",COBOL,398,21-30,30.0,15,2,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2013,government,data or database management; identity card emission,Visual Basic,186,03-Apr,4.0,12,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2006,government,telecom & network management,C,185,Sep-14,11.0,1,1,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2009,defence; government,financial transaction process/accounting,COBOL,28,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2010,government,business application,Oracle,286,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2008,defence; government,financial transaction process/accounting,COBOL,20,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2013,government,business application,PHP,103,1,0.6,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2008,government,missing,C#,307,Missing,7.0,3,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2008,defence; government,financial transaction process/accounting,COBOL,20,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2008,defence; government,financial transaction process/accounting,COBOL,31,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2011,government,business application,Missing,80,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2008,defence; government,financial transaction process/accounting,COBOL,32,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2005,government; public administration,software development tool,Java,185,05-Aug,5.0,1,1,1,0,0,0,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2008,defence; government,financial transaction process/accounting,COBOL,22,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2008,government,mathematical modelling (finance or eng.); online analysis and reporting,ABAP,610,05-Aug,8.0,14,0,1,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2010,government,business application,Oracle,70,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2006,government,management of licences and permits,COOL:Gen,28,Missing,7.0,8,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1993,public administration,management information system,NATURAL,38,1,1.0,4,2,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2014,government,business application,.Net,51,Missing,7.0,3,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2012,government,business application,.Net,113,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2008,government,logistic tracking,Java,210,Missing,7.0,3,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2007,government,management of licences and permits,COOL:Gen,69,Missing,7.0,8,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2007,government,management of licences and permits,COOL:Gen,221,Missing,7.0,8,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2009,government,business application,Oracle,49,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2005,government,management of licences and permits,COOL:Gen,140,Missing,7.0,9,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2009,government,customer billing; customer relationship management; financial transaction process/accounting,PL/I,244,15-20,15.0,16,4,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
1993,public administration,missing,CSP,379,05-Aug,6.0,2,1,1,0,0,0,0,0,0,0,0,0,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2006,government,catalogue/register of things or events; customer relationship management,Oracle,1095,71-80,74.0,3,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2006,government,management of licences and permits,COOL:Gen,288,Missing,7.0,8,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2008,government,management of licences and permits,COOL:Gen,54,Missing,7.0,8,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2005,public administration,missing,Oracle,336,Missing,7.0,3,0,1,0,0,0,0,0,0,0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2008,defence; government,financial transaction process/accounting,COBOL,13,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2010,government,business application,Oracle,82,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2010,government; public administration,electronic data interchange; operating system or software utility,ABAP,360,21-30,23.0,15,6,1,0,0,0,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2008,government,catalogue/register of things or events,Java,643,Missing,7.0,3,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2008,defence; government,financial transaction process/accounting,COBOL,29,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2009,government,financial transaction process/accounting,PL/I,335,15-20,15.0,14,2,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2005,government,management of licences and permits,COOL:Gen,57,Missing,7.0,9,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2009,government,business application,Oracle,297,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2007,government,management of licences and permits,Java,166,Missing,7.0,8,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2005,government,document management; management or performance reporting,C#,297,03-Apr,4.0,13,4,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2005,government,management of licences and permits,COOL:Gen,268,Missing,7.0,9,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2006,government,document management; management or performance reporting,C#,83,05-Aug,6.0,14,4,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2013,government,business application,Java,78,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2008,government,management of licences and permits,COOL:Gen,237,Missing,7.0,8,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2012,government,website,PHP,173,2,2.0,3,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2006,government,"document management; financial transaction process/accounting; image, video or sound processing",COBOL,205,05-Aug,7.0,14,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
1993,public administration,transaction/production system,COBOL,185,Missing,7.0,5,7,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2008,defence; government,financial transaction process/accounting,COBOL,19,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2008,defence; government,financial transaction process/accounting,COBOL,19,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
1994,public administration,office information system,PowerBuilder,379,05-Aug,4.5,6,6,0,0,1,0,0,1,0,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2007,government,management of licences and permits,COOL:Gen,33,Missing,7.0,8,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2008,government,financial transaction process/accounting,PL/I,235,Sep-14,10.0,10,2,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2014,government,business application,.Net,16,Missing,7.0,3,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2005,government,"document management; financial transaction process/accounting; image, video or sound processing",Visual Basic,226,Missing,7.0,14,2,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
1992,government,management information system,COBOL,267,Missing,7.0,5,2,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
1993,government,management information system,COBOL,146,Missing,7.0,5,2,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
1993,public administration,missing,C,422,05-Aug,5.0,2,1,1,0,0,0,0,0,0,0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2007,defence; government,reporting,COBOL,46,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2007,government,logistic or supply planning & control; management or performance reporting,PowerBuilder,285,15-20,15.0,12,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
1999,public administration,management information system,Lotus Notes,500,Sep-14,14.0,3,1,0,0,0,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2008,government,management of licences and permits,Java,8,Missing,7.0,8,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2008,defence; government,financial transaction process/accounting,COBOL,23,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2014,government,business application,Oracle,138,Missing,7.0,3,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1993,public administration,office information system,Missing,185,05-Aug,5.0,5,4,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
1992,aerospace / automotive; computers & software; insurance; public administration,executive information system,C,429,05-Aug,5.5,5,5,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2005,government,"document management; financial transaction process/accounting; image, video or sound processing",Visual Basic,364,21-30,22.0,15,4,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2007,government,management of licences and permits,Java,175,Missing,7.0,8,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1992,aerospace / automotive; computers & software; insurance; public administration,executive information system,C,52,03-Apr,3.5,4,5,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2013,government,business application,PHP,117,03-Apr,3.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2008,defence; government,financial transaction process/accounting,COBOL,17,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2010,government,business application,Oracle,171,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2006,government; public administration (revenue),management or performance reporting; online analysis and reporting; telecom & network management,C,489,05-Aug,7.0,4,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2005,government,catalogue/register of things or events; document management; online analysis and reporting,Java,107,Sep-14,10.0,11,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
2006,government,workflow support & management,C#,202,05-Aug,7.0,11,4,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
2009,government,workflow support & management,C#,75,05-Aug,6.0,13,3,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
2010,government,business application,Oracle,122,Missing,7.0,2,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
