isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,_case_tool_used,process_pmf_development_methodologies,process_pmf_prototyping_used,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_client_roles,tech_tf_server_roles,tech_tf_type_of_server,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_project_user_involvement,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_1_yr,people_prf_it_experience_1_to_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency,project_prf_currency_multiple
14248,b,2010,manufacturing,manufacturing,business application,online analysis and reporting,enhancement,multi,4gl,abap,7.0,xxs,185.0,185,26.4,26.4,,,,,1,1.0,,,,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14250,b,2000,,,business application,transaction/production system,enhancement,mf,3gl,cobol,38.0,s,1206.0,1206,31.7,31.7,,9.0,4.5,4.2,2,2.0,no,,,2,no,,,,,,yes,1.0,,,,,,,,,,,,,,,,
14252,b,2006,insurance,insurance,,,enhancement,multi,3gl,java,170.0,m1,1018.0,1018,6.0,6.0,,18.9,,9.0,,,yes,,,4,,,,,,,,4.0,,,,,,,,,,,,,,,,
14254,b,2013,communication,telecommunications,business application,stock control & order processing,enhancement,multi,3gl,java,57.0,s,743.0,743,13.0,13.0,,9.0,,6.3,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14255,a,2004,government,government,business application,financial transaction process/accounting; graphics & publishing tools or system; management or performance reporting; online analysis and reporting; personal productivity e.g. spreadsheet,enhancement,pc,3gl,c/al,3088.0,xl,4266.0,4266,1.4,1.4,2.9,386.0,,8.0,,,,,,12,no,,,,,,yes,4.0,,,3.0,11.0,,,,3.0,3.0,10.0,13.0,0.0,4.0,,,
14257,a,1994,utilities,"electricity, gas, water",business application,reconciliation,new development,mf,3gl,pl/i,100.0,m1,440.0,440,4.4,4.4,30.0,33.3,33.3,3.0,1,1.0,,,,4,no,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14258,b,2012,logistics,logistics,business application,business application,enhancement,,4gl,.net,10.0,xs,45.0,45,4.5,4.5,0.0,4.3,,2.3,,,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,2960.0,"european, euro",no
14260,b,2002,professional services,professional services,business application,financial transaction process/accounting,new development,mr,3gl,java,778.0,m2,3845.0,3845,4.9,4.9,,194.5,,4.0,,,no,waterfall incl linear processing & ssadm,,3,,,,web,,web,yes,0.0,,,,,,,,,,,,,,,,
14263,b,2013,communication,telecommunications,business application,online analysis and reporting,enhancement,multi,3gl,java,58.0,s,2459.0,2459,42.4,42.4,,5.6,,10.3,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14267,b,1998,banking,banking,,,new development,mf,4gl,easytrieve,85.0,s,180.0,180,2.1,2.1,,42.5,,2.0,,,,,,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14272,b,2013,medical & health care,medical and health care,,not recorded,enhancement,,,,6.0,xxs,479.0,479,79.8,79.8,,0.8,0.0,8.0,21-30,21.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,16288.0,"united states, dollar",no
14274,b,2004,,,mathematically-intensive application,network switch provisioning,enhancement,,3gl,c++,14.0,xs,1548.0,1548,110.6,110.6,,,,,,,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,,,
14278,b,2014,insurance,insurance,business application,unknown,enhancement,,4gl,natural,58.0,s,140.0,140,2.4,2.4,,41.4,,1.4,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14279,b,2004,insurance,insurance,,,enhancement,mf,3gl,cobol,60.0,s,1142.0,1142,19.0,19.0,,9.7,,6.2,,,,waterfall incl linear processing & ssadm,,4,,,,,,,,1.0,,,,,,,,,,,,,,,,
14282,b,1998,,,,,enhancement,,3gl,c,459.0,m2,2705.0,2705,5.9,5.9,,91.8,18.4,5.0,5-8,5.0,don't know,,,4,,,,,,,,0.0,,,,,,,,,,,,,,,,
14286,b,2008,government,government; defence,business application,financial transaction process/accounting,enhancement,mf,3gl,cobol,17.0,xs,228.0,228,13.4,13.4,58.8,1.1,,15.1,,,,,,2,no,,,,,,,0.0,,,,,,,,,,,,,,16858.0,"united states, dollar",no
14288,b,2002,wholesale & retail,e-business,business application,e-business,enhancement,mf,3gl,c++,237.0,m1,1371.0,1371,5.8,5.8,,,,,,,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,,,
14289,a,2009,government,government; danish citizens,business application,catalogue/register of things or events; processing application for public subsidies,enhancement,multi,3gl,c#,154.0,m1,2009.0,2009,13.0,13.0,19.5,38.5,5.5,4.0,5-8,7.0,no,unified process,yes,15,yes,,,,,web,yes,4.0,,1.0,1.0,5.0,,,,2.0,1.0,4.0,7.0,0.0,0.0,,,
14291,b,2006,,,business application,financial transaction process/accounting,enhancement,multi,3gl,java,,s,908.0,908,,,,,,6.0,,,,waterfall incl linear processing & ssadm,,3,,,,,,web,yes,0.0,,,,,,,,,,,,,,,,
14293,a,2001,communication,communications,real-time application,telecom & network management,enhancement,pc,3gl,c++,,,17732.0,18054,,,,,,5.2,31-40,33.0,,,,12,yes,business logic or rule processing,object/component server,,,,yes,0.0,,10.0,25.0,5.0,,,,33.0,5.0,2.0,4.0,0.0,10.0,,,
14294,a,1991,financial,"financial, property & business services",,,new development,mf,3gl,cobol,99.0,s,1099.0,1099,11.1,11.1,,,,,,,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,,,
14295,b,1999,,,,,new development,,,,495.0,m2,1486.0,1486,3.0,3.0,,82.5,20.6,6.0,3-4,4.0,yes,,,4,,,,,,,,2.0,,,,,,,,,,,,,,,,
14296,b,2006,,,business application,financial transaction process/accounting,enhancement,multi,4gl,.net,,s,297.0,297,,,,,,1.3,,,,waterfall incl linear processing & ssadm,,3,,,,,,web,yes,0.0,,,,,,,,,,,,,,,,
14301,b,2015,insurance,insurance,business application,workflow support & management,enhancement,pc,3gl,cobol,53.0,s,64.0,64,1.2,1.2,,9.6,9.6,5.5,1,1.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,3464.0,"european, euro",no
14307,b,2013,construction,construction,business application,catalogue/register of things or events,new development,pc,3gl,c#,252.0,m1,230.0,252,0.9,1.0,67.5,126.0,31.5,2.0,3-4,4.0,,,,3,,,,,,web,yes,2.0,,,,,,,,,,,,,,,,
14309,b,2004,,,,,enhancement,,4gl,powerbuilder,267.0,m1,3312.0,3312,12.4,12.4,,205.4,,1.3,,,,,,2,yes,,,c/s,,,,0.0,,,,,,,,,,,,,,,,
14312,b,2012,medical & health care,medical and health care,,not recorded,enhancement,,,,44.0,s,10852.0,10852,246.6,246.6,,1.7,0.0,26.0,61-70,65.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,607330.0,"united states, dollar",no
14319,b,2010,banking,banking,business application,auditing management,new development,proprietary,5gl,proprietary agile platform,748.0,m2,1518.0,1518,2.0,2.0,,249.3,,3.0,,,,agile development,,5,,,,,,web,,0.0,,,,,,,,,,,,,,,,
14322,b,2000,insurance,insurance,business application,financial transaction process/accounting,enhancement,mf,3gl,cobol,121.0,m1,515.0,515,4.3,4.3,,40.3,,3.0,,,no,waterfall incl linear processing & ssadm,,3,don't know,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14325,b,2009,government,government,business application,financial transaction process/accounting; management or performance reporting; data warehouse system,new development,mr,4gl,.net,498.0,m2,19795.0,19795,39.7,39.7,,27.7,1.3,18.0,21-30,22.0,,agile development; unified process,,18,yes,run a computer-human interface; data entry & validation; data retrieval & presentation; web/html browser; security,database server; file &/or print server; html/web server; multi-user legacy application,,,,,2.0,,,,,,,,,,,,0.0,1.0,,,
14335,a,2011,manufacturing,aerospace / automotive,mathematically-intensive application,mathematical modelling finance or eng.; software development tool,re-development,pc,3gl,c#,456.0,m2,5408.0,5408,11.9,11.9,0.0,50.7,10.1,9.0,5-8,5.0,yes,agile development,,17,yes,run a computer-human interface; data entry & validation; web public interface,database server; html/web server; mail server; security/authentication,,,web,yes,7.0,,0.0,1.0,2.0,,,,1.0,2.0,0.0,3.0,1.0,1.0,,,
14343,b,2000,insurance,insurance,business application,financial transaction process/accounting,enhancement,mf,3gl,visual basic,327.0,m2,10360.0,10360,31.7,31.7,,109.0,,3.0,,,no,waterfall incl linear processing & ssadm,,3,don't know,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14345,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3gl,java,114.0,m1,429.0,429,3.8,3.8,,38.0,9.5,3.0,3-4,4.0,,agile development; personal software process psp; unified process,,18,yes,web/html browser,security/authentication,,,web,yes,4.0,,,,,,,,4.0,,,,0.0,0.0,17160.0,"canada, dollar",
14349,b,2000,communication,communications,business application,transaction/production system,enhancement,mf,4gl,oracle,1387.0,l,7491.0,11705,5.4,8.4,33.9,115.6,,12.0,,,,,,4,no,,,,,,,0.0,,,,,,,,,,,,,,1236000.0,"netherlands, florin",
14350,b,2005,banking,banking,business application,financial transaction process/accounting,new development,mf,3gl,cobol,108.0,m1,1467.0,1467,13.6,13.6,,,,,,,,,,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14353,b,2007,,all-purpose,business application,document management,new development,pc,3gl,java,,,12830.0,12830,,,,,,6.0,5-8,8.0,,waterfall incl linear processing & ssadm,,2,yes,,,client-server architecture,,,yes,0.0,,,,,,,,,,,,,,,,
14357,b,2003,,,,,enhancement,mf,3gl,cobol,7.0,xxs,208.0,208,29.7,29.7,,3.5,,2.0,,,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,,,
14360,b,2011,manufacturing,manufacturing,business application,parts documentation,enhancement,mr,3gl,java,113.0,m1,,3822,,33.8,0.0,11.3,,10.0,,,yes,,,8,yes,,,client server,client server,,yes,4.0,,,,,,,,,,,,,,,,
14364,b,2002,insurance,insurance,business application,financial transaction process/accounting,enhancement,mf,3gl,visual basic,120.0,m1,3080.0,3080,25.7,25.7,,40.0,,3.0,,,no,waterfall incl linear processing & ssadm,,3,don't know,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14372,b,1998,financial,"financial, property & business services",business application,financial transaction process/accounting,new development,pc,4gl,visual c++,1521.0,l,3857.0,3857,2.5,2.5,,253.5,,6.0,,,no,waterfall incl linear processing & ssadm,,3,,,,web,,web,yes,0.0,,,,,,,,,,,,,,,,
14374,b,2000,banking,banking,business application,financial transaction process/accounting,new development,mf,3gl,pl/i,192.0,m1,4386.0,4386,22.8,22.8,,64.0,,3.0,,,no,waterfall incl linear processing & ssadm,,3,don't know,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14376,b,1997,service industry,community services,,,new development,multi,4gl,access,1827.0,l,968.0,968,0.5,0.5,,397.2,,4.6,,,no,waterfall incl linear processing & ssadm,,3,yes,,,c/s,,,yes,0.0,,,,,,,,,,,,,,,,
14378,a,1991,communication,communications,,,enhancement,mf,4gl,natural,103.0,m1,1362.0,1362,13.2,13.2,,51.5,,2.0,,,,,,2,,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14383,b,2000,construction,construction,business application,financial transaction process/accounting,enhancement,multi,3gl,visual basic,82.0,s,742.0,742,9.0,9.0,,31.5,,2.6,,,no,waterfall incl linear processing & ssadm,,3,yes,,,c/s,,,yes,0.0,,,,,,,,,,,,,,,,
14386,b,1999,government,public administration,,,new development,pc,4gl,delphi,445.0,m2,1460.0,1460,3.3,3.3,,44.5,,10.0,,,yes,,,4,,,,,,,,3.0,,,,,,,,,,,,,,,,
14387,b,2007,banking,banking,business application,financial transaction process/accounting,enhancement,mf,3gl,cobol,731.0,m2,3702.0,3702,5.1,5.1,,66.5,,11.0,,,,,,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14391,b,2012,logistics,logistics,business application,business application,new development,,4gl,azure,894.0,m2,4769.0,4769,5.3,5.3,0.0,104.0,,8.6,,,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,305120.0,"european, euro",no
14392,b,2004,,,business application,financial application area,enhancement,multi,4gl,,44.0,s,317.0,317,7.2,7.2,22.7,33.8,,1.3,,,,,,2,yes,,,client server,,,yes,0.0,,,,,,,,,,,,,,,,
14393,b,2011,medical & health care,medical and health care,,not recorded,enhancement,,,,14.0,xs,14138.0,14138,1009.9,1009.9,,0.8,0.0,18.0,51-60,57.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,826113.0,"united states, dollar",no
14394,a,2011,insurance,insurance,business application,"calculation, quotation, insurance policy issue",new development,pc,4gl,adobe flex,174.0,m1,1408.0,1498,8.1,8.6,5.7,14.5,1.6,12.0,9-14,9.0,no,waterfall incl linear processing & ssadm,,15,yes,web/html browser; web public interface,database server; file &/or print server; html/web server; messaging server; multi-user legacy application,,,web,yes,5.0,,,,9.0,,,,,6.0,3.0,16.0,1.0,1.0,124640.0,"european, euro",no
14399,b,2004,,,,,enhancement,,,,9.0,xxs,27.0,27,3.0,3.0,,27.3,,0.33,,,,,,2,yes,,,c/s,,,,0.0,,,,,,,,,,,,,,,,
14401,b,2000,manufacturing,manufacturing,business application,electronic data interchange,enhancement,,,,22.0,xs,3178.0,3178,144.5,144.5,,,,,,,don't know,,,4,no,,,,,,yes,4.0,yes,,,,,,,,,,,,,,"united states, dollar",
14406,b,2014,communication,telecommunications,business application,online. esales,enhancement,multi,,,51.0,s,937.0,937,18.4,18.4,,11.1,,4.6,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,web,,0.0,,,,,,,,,,,,,,,,
14407,b,2000,wholesale & retail,wholesale & retail trade,business application,transaction/production system,new development,pc,3gl,c++,,m2,2737.0,2737,,,,,,,,,don't know,,,4,no,,,,,,yes,3.0,yes,,,,,,,,,,,,,,"united states, dollar",
14410,a,2005,government,government,business application,management of licences and permits,enhancement,mf,apg,cool:gen,272.0,m1,3347.0,3347,12.3,12.3,3.7,20.9,,13.0,,,,,,9,,,,,,,,0.0,,,,,,,,,,,,,,,,
14411,b,2013,insurance,insurance,business application,unknown,enhancement,,,,141.0,m1,3851.0,3851,27.3,27.3,,17.4,,8.1,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14416,b,2004,,,business application,financial application area,enhancement,multi,4gl,,176.0,m1,2323.0,2323,13.2,13.2,,19.6,,9.0,,,,,,2,yes,,,client server,,,yes,0.0,,,,,,,,,,,,,,,,
14419,b,2003,communication,communications,business application,workflow support & management,enhancement,,3gl,c++,492.0,m2,13912.0,13912,28.3,28.3,6.1,40.3,5.8,12.2,5-8,7.0,no,,,14,yes,run a computer-human interface; data entry & validation; data retrieval & presentation; web/html browser,database server; html/web server,,,web,yes,4.0,,,,,,,,,,,,0.0,0.0,564000.0,"united kingdom, pound sterling",
14425,b,2015,insurance,insurance,business application,unknown,enhancement,,,,293.0,m1,1443.0,1443,4.9,4.9,,101.0,,2.9,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14426,b,1995,utilities,energy,business application,utility,new development,pc,4gl,delphi,69.0,s,521.0,521,7.6,7.6,,5.7,5.7,12.1,1,1.0,,rapid application development rad,,2,,,,,,,,0.0,,,,,,,,,,,,,,,,
14431,b,2005,banking,banking,business application,financial transaction process/accounting,new development,mf,3gl,cobol,33.0,s,6521.0,6521,197.6,197.6,,,,,,,,,,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14433,a,1991,manufacturing,manufacturing,,,enhancement,mf,3gl,pl/i,358.0,m2,,2533,,7.1,,59.7,9.9,6.0,5-8,6.0,,,,2,,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14438,b,2002,financial,"financial, property & business services",business application,financial transaction process/accounting,enhancement,mf,,jam,368.0,m2,953.0,953,2.6,2.6,,,,,,,,,,2,,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14439,a,2005,government,government,business application,management of licences and permits,enhancement,mf,apg,cool:gen,57.0,s,1810.0,1810,31.8,31.8,87.7,8.1,,7.0,,,,,,9,,,,,,,,0.0,,,,,,,,,,,,,,,,
14441,a,1994,professional services,computer consultants,business application,office information system,new development,pc,4gl,,172.0,m1,225.0,225,1.3,1.3,,17.2,,10.0,,,no,,yes,5,,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14450,b,2003,insurance,insurance,,,new development,mf,3gl,pl/i,399.0,m2,3680.0,3680,9.2,9.2,,30.7,,13.0,,,,waterfall incl linear processing & ssadm,yes,4,,,,,,,,2.0,,,,,,,,,,,,,,,,
14451,b,2013,medical & health care,medical and health care,,not recorded,enhancement,,,,17.0,xs,7003.0,7003,411.9,411.9,,1.1,0.0,15.0,31-40,39.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,256952.0,"united states, dollar",no
14452,b,2014,insurance,insurance,business application,unknown,enhancement,,3gl,pl/sql,132.0,m1,1537.0,1537,11.6,11.6,,26.4,,5.0,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14453,b,2013,insurance,insurance,business application,unknown,enhancement,,3gl,pl/sql,77.0,s,702.0,702,9.1,9.1,,11.2,,6.9,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14466,b,2014,insurance,insurance,business application,unknown,enhancement,,4gl,natural,84.0,s,867.0,867,10.3,10.3,,16.8,,5.0,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14470,b,2002,manufacturing,manufacturing,business application,customer billing/relationship management; crm,new development,multi,4gl,visual basic,2120.0,l,11830.0,11830,5.6,5.6,,235.6,,9.0,,,no,waterfall incl linear processing & ssadm,,3,yes,,,c/s,,,yes,0.0,,,,,,,,,,,,,,,,
14471,a,1993,medical & health care,occupational health and safety,business application,transaction/production system,enhancement,mf,4gl,,805.0,m2,11045.0,11045,13.7,13.7,22.4,61.9,8.8,13.0,5-8,7.0,no,joint application development jad,,6,,,,,,,yes,2.0,,,,,,,,,,,,,,,,
14475,b,1999,,,,,new development,,3gl,c,194.0,m1,1069.0,1069,5.5,5.5,,,,,2,2.0,don't know,,,4,,,,,,,,0.0,,,,,,,,,,,,,,,,
14483,b,2014,communication,telecommunications,mathematically-intensive application,customer relationship management,enhancement,multi,3gl,pl/sql,67.0,s,995.0,995,14.9,14.9,,15.2,,4.4,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14484,a,2008,government,government,business application,financial transaction process/accounting,enhancement,mf,3gl,pl/i,235.0,m1,5548.0,5548,23.6,23.6,59.6,14.7,1.5,16.0,9-14,10.0,no,,,10,no,,,,,,yes,2.0,,,,10.0,,,,,,10.0,8.0,1.0,1.0,,,
14485,b,2004,,,business application,financial application area,new development,multi,3gl,java,78.0,s,484.0,484,6.2,6.2,12.8,26.0,,3.0,,,,,,2,,,,web,,web,yes,0.0,,,,,,,,,,,,,,,,
14487,a,2004,banking,banking,business application,financial transaction process/accounting,enhancement,pc,3gl,java,62.0,s,2407.0,3116,38.8,50.3,,6.9,0.6,9.0,9-14,11.0,,,,10,,,,,,web,yes,2.0,,,,,,,,,,,,,,509050.0,"european, euro",no
14489,a,1994,government,public administration,business application,transaction/production system,enhancement,mf,3gl,cobol,,l,60823.0,60823,,,,,,12.0,,,,multifunctional teams,,5,,,,,,,yes,9.0,,,,,,,,,,,,,,,,
14492,b,2013,communication,telecommunications,business application,customer relationship management,enhancement,multi,3gl,visual basic,130.0,m1,4813.0,4813,37.0,37.0,,16.7,,7.8,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14494,b,2012,medical & health care,medical and health care,,not recorded,enhancement,,,,18.0,xs,1672.0,1672,92.9,92.9,,0.8,0.0,24.0,51-60,52.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,104406.0,"united states, dollar",no
14499,a,1995,insurance,public administration; insurance,business application,transaction/production system,enhancement,mf,4gl,natural,2983.0,l,,32760,,11.0,,124.3,,24.0,,,no,,,5,no,,,,,,yes,4.0,don't know,,,,1.0,4.0,8.0,,,,3.0,0.0,0.0,2019933.0,"united states, dollar",
14504,b,2012,medical & health care,medical and health care,,not recorded,enhancement,,,,16.0,xs,4933.0,4933,308.3,308.3,,1.6,0.0,10.0,31-40,33.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,171976.0,"united states, dollar",no
14505,b,2006,communication,telecommunication,,,enhancement,multi,4gl,,52.0,s,1616.0,1616,31.1,31.1,,4.3,,12.1,,,,,,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14509,b,2002,financial,"financial, property & business services",business application,financial transaction process/accounting,enhancement,mf,3gl,"shell, c",50.0,s,1556.0,1556,31.1,31.1,,,,,,,,,,2,,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14513,b,2007,banking,banking,business application,financial transaction process/accounting,new development,mf,3gl,cobol,339.0,m2,6144.0,6144,18.1,18.1,,21.1,,16.1,,,,,,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14514,b,2002,banking,banking,,,enhancement,mf,3gl,pl/i,255.0,m1,14040.0,14040,55.1,55.1,0.0,19.6,1.0,13.0,15-20,20.0,,,,3,,,,,,,yes,4.0,,,,,,,,,,,,,0.0,,,
14518,b,2002,manufacturing,manufacturing,business application,electronic data interchange,new development,mf,4gl,visual basic,1694.0,l,6400.0,6400,3.8,3.8,,155.4,19.4,10.9,5-8,8.0,no,waterfall incl linear processing & ssadm,,3,don't know,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14519,b,2015,communication,telecommunications,business application,customer relationship management,enhancement,multi,,,50.0,s,800.0,800,16.0,16.0,,12.8,,3.9,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14525,a,2010,service industry,community services; government; public administration,business application,catalogue/register of things or events,enhancement,multi,3gl,c#,695.0,m2,19606.0,19606,28.2,28.2,59.0,36.6,1.4,19.0,21-30,26.0,,agile development; scrum,,17,yes,business logic or rule processing; data entry & validation; data retrieval & presentation,database server,,,,yes,2.0,,5.0,5.0,16.0,,,,2.0,0.0,24.0,10.0,2.0,2.0,,,
14527,b,1999,insurance,insurance,business application,financial transaction process/accounting,new development,multi,3gl,visual basic,30.0,s,621.0,621,20.7,20.7,,50.0,,0.6,,,no,waterfall incl linear processing & ssadm,,3,yes,,,c/s,,,no,0.0,,,,,,,,,,,,,,,,
14528,b,2012,communication,telecommunications,business application,customer relationship management,enhancement,multi,3gl,java,81.0,s,1128.0,1128,13.9,13.9,,12.9,,6.3,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
14535,b,2009,education,education institution,business application,catalogue/register of things or events; logistic or supply planning & control,re-development,pc,3gl,c#,483.0,m2,331.0,331,0.7,0.7,,120.8,24.2,4.0,5-8,5.0,no,agile development,,14,no,,,,,,yes,2.0,,6.0,0.0,1.0,,,,1.0,3.0,3.0,,1.0,1.0,,,
14543,b,2010,manufacturing,manufacturing,business application,factory change programming,enhancement,mr,3gl,java,55.0,s,,416,,7.6,72.7,13.4,,4.1,,,yes,,,8,yes,,,client server,client server,,yes,4.0,,,,,,,,,,,,,3.0,,,
14544,b,2012,medical & health care,medical and health care,,not recorded,enhancement,,,,4.0,xxs,1330.0,1330,332.5,332.5,,0.5,0.0,8.0,15-20,20.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,54183.0,"united states, dollar",no
14545,a,2001,communication,communications,,robot,new development,mr,,,80.0,s,2054.0,2475,25.7,30.9,,10.0,2.0,8.0,5-8,5.0,,rapid application development rad,,5,yes,,,"unix; client: presentation, processing",unix,,yes,0.0,yes,,,,,,,,,,,,,,,
14549,b,2010,manufacturing,manufacturing,business application,human resources,enhancement,mr,4gl,abap,48.0,s,,704,,14.7,0.0,20.9,,2.3,,,,,,8,yes,,,client server,client server,,yes,2.0,,,,,,,,,,,,,,,,
14554,b,2011,manufacturing,manufacturing,business application,production management,enhancement,mf,3gl,java,328.0,m2,,3958,,12.1,0.0,20.8,,15.8,,,yes,,,8,yes,,,client server,client server,,yes,4.0,,,,,,,,,,,,,0.0,,,
14559,b,2006,,,business application,financial transaction process/accounting,enhancement,multi,3gl,java,,xs,188.0,188,,,,,,1.3,,,,waterfall incl linear processing & ssadm,,3,,,,,,web,yes,0.0,,,,,,,,,,,,,,,,
14560,b,2004,,,business application,financial application area,enhancement,multi,3gl,java,22.0,xs,128.0,128,5.8,5.8,,14.7,,1.5,,,,,,2,,,,web,,web,yes,0.0,,,,,,,,,,,,,,,,
14562,b,2015,insurance,insurance,business application,customer relationship management,new development,pc,4gl,.net,162.0,m1,4700.0,4700,29.0,29.0,,13.8,3.5,11.7,3-4,4.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,393035.0,"european, euro",no
14564,b,2006,manufacturing,manufacturing,real-time application,embedded system/real-time application,enhancement,mr,3gl,,,xxs,1420.0,1420,,,,,,,,,,waterfall incl linear processing & ssadm,,3,,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14577,b,2011,government,government,business application,website,new development,pc,3gl,php,234.0,m1,291.0,291,1.2,1.2,,78.0,19.5,3.0,3-4,4.0,no,,,3,yes,front-end,webserver,webserver,webserver,web,,0.0,,,,,,,,,,,,,,20427.0,"european, euro",no
14578,b,2004,,,business application,financial application area,enhancement,multi,3gl,java,77.0,s,470.0,470,6.1,6.1,,18.3,,4.2,,,,,,2,,,,web,,web,yes,0.0,,,,,,,,,,,,,,,,
14580,b,2007,manufacturing,manufacturing,business application,financial transaction process/accounting; logistic or supply planning & control,re-development,pc,3gl,c#,,,22392.0,22392,,,,,,21.0,9-14,10.0,,,,3,yes,,,browser-server architecture,,,yes,0.0,,,,,,,,,,,,,,,,
14585,b,2014,communication,telecommunications,business application,online. esales,enhancement,multi,,,137.0,m1,1873.0,1873,13.7,13.7,,30.4,,4.5,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,web,,0.0,,,,,,,,,,,,,,,,
14588,b,2005,banking,banking,infrastructure software,system software,enhancement,pc,3gl,c++,,,4704.0,5472,,,,,,6.2,9-14,10.0,,,,0,,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14589,b,2001,insurance,insurance,business application,sales contact management,new development,mf,4gl,asp,67.0,s,1355.0,1355,20.2,20.2,,13.4,,5.0,,,no,waterfall incl linear processing & ssadm,,3,don't know,,,,,,yes,0.0,,,,,,,,,,,,,,,,
14590,b,2015,insurance,insurance,business application,financial transaction process/accounting,enhancement,pc,3gl,cobol,597.0,m2,5608.0,5608,9.4,9.4,,72.8,14.6,8.2,5-8,5.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,304880.0,"european, euro",no
