isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_speed_of_delivery,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,_case_tool_used,process_pmf_development_methodologies,process_pmf_docs,tech_tf_architecture,tech_tf_dbms_used,tech_tf_tools_used
10971,b,2006,Missing,Missing,business application,financial transaction process/accounting,enhancement,multi,3GL,java,,xs,19.0,19,,,,0.36,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
10973,b,1998,Missing,Missing,Missing,Missing,enhancement,Missing,4GL,visual c++,538.0,m2,1818.0,1818,3.4,3.4,89.7,6.0,5-8,5.0,yes,Missing,4,Missing,Missing,2.0
10975,b,2012,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,7.0,xxs,537.0,537,76.7,76.7,1.4,5.0,21-30,22.0,Missing,Missing,2,Missing,Missing,0.0
10976,b,2002,wholesale & retail,ordering,business application,stock control & order processing,enhancement,Missing,3GL,c++,155.0,m1,8385.0,8385,54.1,54.1,,,Missing,,Missing,Missing,2,Missing,Missing,0.0
10980,b,2005,communication,communications,mathematically-intensive application,relatively complex application,enhancement,multi,4GL,Missing,307.0,m2,1596.0,1596,5.2,5.2,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,yes,yes,0.0
10981,b,2000,financial,"financial, property & business services",real-time application,software for machine control,enhancement,multi,3GL,visual basic,159.0,m1,2076.0,2076,13.1,13.1,37.9,4.2,Missing,,no,waterfall incl linear processing & ssadm,3,yes,yes,0.0
10985,b,1999,service industry,community services,business application,management information system,new development,pc,4GL,clipper,319.0,m2,5673.0,6297,17.8,19.7,,,5-8,5.0,don't know,Missing,5,no,yes,3.0
10986,b,2003,insurance,insurance,Missing,Missing,enhancement,mf,3GL,cobol,242.0,m1,1405.0,1405,5.8,5.8,34.6,7.0,Missing,,Missing,Missing,8,Missing,Missing,0.0
10990,b,2006,insurance,insurance,Missing,Missing,enhancement,mf,3GL,cobol,9.0,xxs,42.0,42,4.7,4.7,9.0,1.0,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,2.0
10991,b,1997,insurance,insurance,business application,transaction/production system,new development,mf,4GL,visual basic,272.0,m1,,1248,,4.6,38.9,7.0,Missing,,no,Missing,4,no,yes,2.0
10993,b,1999,Missing,Missing,business application,transaction/production system,enhancement,mf,3GL,cobol,310.0,m2,5971.0,5971,19.3,19.3,21.1,14.7,3-4,4.0,no,Missing,2,no,yes,1.0
10997,b,1994,banking,banking,business application,transaction/production system,new development,mf,3GL,cobol,200.0,m1,1935.0,1935,9.7,9.7,28.6,7.0,5-8,6.0,no,Missing,4,no,yes,2.0
10998,b,1999,Missing,Missing,Missing,Missing,new development,Missing,3GL,c,474.0,m2,1644.0,1644,3.5,3.5,67.7,7.0,5-8,5.0,don't know,Missing,4,Missing,Missing,0.0
11001,a,2000,communication,communications,business application,management information system,new development,Missing,4GL,sql,282.0,m1,1938.0,2335,6.9,8.3,94.0,3.0,Missing,,Missing,joint application development jad,6,yes,yes,2.0
11002,b,2004,Missing,Missing,mathematically-intensive application,network switch provisioning,enhancement,Missing,3GL,c,55.0,s,4544.0,4544,82.6,82.6,,,Missing,,Missing,Missing,2,Missing,Missing,0.0
11003,a,2000,communication,communications,business application,transaction/production system,enhancement,Missing,4GL,oracle,215.0,m1,1946.0,2345,9.1,10.9,26.9,8.0,9-14,9.0,Missing,Missing,4,Missing,yes,0.0
11009,b,2002,insurance,insurance,business application,financial transaction process/accounting,enhancement,pc,3GL,java,124.0,m1,2800.0,2800,22.6,22.6,24.8,5.0,Missing,,no,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
11012,b,2015,communication,telecommunications,business application,customer relationship management,enhancement,multi,4GL,visual basic,111.0,m1,2023.0,2023,18.2,18.2,25.8,4.3,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11013,a,2000,government,community services; insurance; public administration,business application,executive information system,new development,pc,4GL,lotus notes,149.0,m1,174.0,193,1.2,1.3,74.5,2.0,5-8,6.0,Missing,joint application development jad; rapid application development rad,6,no,yes,1.0
11020,b,2006,Missing,Missing,business application,financial transaction process/accounting,enhancement,multi,3GL,java,,s,131.0,131,,,,1.8,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
11027,b,2003,financial,"financial, property & business services",business application,client server; financial transaction process/accounting,enhancement,multi,4GL,Missing,,s,230.0,230,,,,3.0,Missing,,Missing,Missing,3,yes,Missing,0.0
11033,b,1998,Missing,Missing,Missing,Missing,new development,Missing,3GL,pascal,345.0,m2,1129.0,1129,3.3,3.3,57.5,6.0,2,2.0,don't know,Missing,4,Missing,Missing,0.0
11043,b,2008,insurance,insurance,business application,printing documentation design,enhancement,mf,3GL,cobol,4.0,xxs,24.0,24,6.0,6.0,8.0,0.5,2,2.0,Missing,Missing,2,Missing,yes,2.0
11044,b,1996,banking,banking,business application,management information system,enhancement,mf,3GL,cobol,170.0,m1,2192.0,2192,12.9,12.9,,,Missing,,no,multifunctional teams,4,no,yes,9.0
11054,b,2003,communication,communications,business application,business,new development,pc,Missing,sql,230.0,m1,962.0,1503,4.2,6.5,57.5,4.0,Missing,,Missing,Missing,9,yes,yes,0.0
11055,b,2011,service industry,transport & storage; wholesale & retail trade,business application,financial transaction process/accounting,enhancement,mr,3GL,c#,81.0,s,360.0,360,4.4,4.4,20.3,4.0,3-4,3.0,Missing,Missing,14,yes,Missing,0.0
11056,b,1995,government,public administration,business application,transaction/production system,re-development,mf,4GL,Missing,399.0,m2,5900.0,5900,14.8,14.8,28.5,14.0,5-8,5.0,no,Missing,4,no,yes,5.0
11060,b,2000,insurance,insurance,Missing,Missing,enhancement,mf,3GL,pl/i,271.0,m1,3321.0,3321,12.3,12.3,38.7,7.0,Missing,,Missing,Missing,3,Missing,Missing,2.0
11061,a,2010,electronics & computers,computers & software,Missing,Missing,enhancement,mr,4GL,abap,15.0,xs,538.0,538,35.9,35.9,2.1,7.0,5-8,5.0,Missing,incremental,3,yes,Missing,2.0
11062,b,2004,Missing,Missing,Missing,Missing,enhancement,Missing,4GL,access,30.0,s,384.0,384,12.8,12.8,25.0,1.2,Missing,,Missing,Missing,2,yes,Missing,0.0
11065,b,2008,government,defence; government,business application,financial transaction process/accounting,enhancement,mf,3GL,cobol,22.0,xs,243.0,243,11.0,11.0,1.7,13.0,Missing,,Missing,Missing,2,no,Missing,0.0
11069,b,2012,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,106.0,m1,14573.0,14573,137.5,137.5,5.0,21.0,101+,118.0,Missing,Missing,2,Missing,Missing,0.0
11082,b,2005,communication,communications,mathematically-intensive application,relatively complex application,enhancement,mf,3GL,Missing,8.0,xxs,196.0,196,24.5,24.5,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
11083,a,2005,government,government,business application,workflow support & management,new development,multi,4GL,abap,228.0,m1,2877.0,2877,12.6,12.6,57.0,4.0,9-14,9.0,Missing,Missing,13,yes,yes,4.0
11090,a,2008,communication,communications; telecom,mathematically-intensive application,migration tool; network management,enhancement,mr,4GL,pro*c,58.0,s,1536.0,1536,26.5,26.5,11.6,5.0,9-14,9.0,no,Missing,16,yes,yes,2.0
11091,b,2002,wholesale & retail,billing,business application,billing,enhancement,Missing,3GL,cobol,81.0,s,1941.0,1941,24.0,24.0,,,Missing,,Missing,Missing,2,Missing,yes,0.0
11100,b,2002,insurance,insurance,business application,financial transaction process/accounting,enhancement,mr,3GL,java,539.0,m2,2409.0,2409,4.5,4.5,89.8,6.0,5-8,5.0,no,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
11101,b,1997,Missing,Missing,Missing,Missing,enhancement,Missing,4GL,visual c++,78.0,s,336.0,336,4.3,4.3,26.0,3.0,5-8,5.0,yes,Missing,4,Missing,Missing,2.0
11107,b,2006,Missing,Missing,business application,financial transaction process/accounting,enhancement,multi,3GL,java,,xxs,40.0,40,,,,0.39,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
11108,b,1991,communication,communications,Missing,Missing,new development,mf,4GL,natural,1097.0,l,15749.0,15749,14.4,14.4,182.8,6.0,9-14,12.0,Missing,Missing,2,Missing,yes,1.0
11110,b,1995,Missing,Missing,Missing,Missing,new development,Missing,4GL,sql,455.0,m2,10670.0,10670,23.5,23.5,22.8,20.0,5-8,6.0,don't know,Missing,4,Missing,Missing,0.0
11113,b,2008,communication,telecom,Missing,Missing,enhancement,mr,4GL,coldfusion,579.0,m2,2260.0,2260,3.9,3.9,72.4,8.0,3-4,4.0,Missing,Missing,14,yes,yes,4.0
11118,b,2015,communication,telecommunications,business application,logistic or supply planning & control,enhancement,multi,3GL,java,96.0,s,920.0,920,9.6,9.6,28.2,3.4,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11126,b,2012,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,11.0,xs,1253.0,1253,113.9,113.9,0.8,14.0,21-30,21.0,Missing,Missing,2,Missing,Missing,0.0
11129,b,2010,manufacturing,manufacturing,business application,after sales follow up,enhancement,mr,3GL,java,341.0,m2,,2455,,7.2,59.8,5.7,Missing,,yes,Missing,8,yes,yes,4.0
11131,a,2007,government,government,business application,customer billing/relationship management; electronic data interchange; financial transaction process/accounting,enhancement,multi,3GL,pl/i,199.0,m1,3746.0,3746,18.8,18.8,22.1,9.0,5-8,7.0,Missing,Missing,14,yes,yes,2.0
11132,b,2004,Missing,Missing,business application,financial application area,enhancement,multi,3GL,java,58.0,s,278.0,278,4.8,4.8,29.0,2.0,Missing,,Missing,Missing,2,Missing,yes,0.0
11136,b,2005,communication,communications,mathematically-intensive application,relatively complex application,enhancement,multi,4GL,Missing,397.0,m2,4668.0,4668,11.8,11.8,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,yes,yes,0.0
11139,b,2004,Missing,Missing,Missing,Missing,enhancement,Missing,3GL,cobol,153.0,m1,2611.0,2611,17.1,17.1,,,Missing,,Missing,Missing,2,Missing,Missing,0.0
11143,b,2010,manufacturing,manufacturing,business application,dynamic calculation accessory drive and distribution,enhancement,Missing,4GL,matlab,68.0,s,,330,,4.9,11.1,6.1,Missing,,Missing,Missing,8,no,yes,2.0
11148,b,2005,banking,banking,business application,financial transaction process/accounting,enhancement,mf,3GL,cobol,68.0,s,3569.0,3569,52.5,52.5,,,Missing,,Missing,Missing,3,Missing,Missing,0.0
11149,b,1999,communication,communications,business application,financial transaction process/accounting,enhancement,mr,3GL,c,407.0,m2,1472.0,1472,3.6,3.6,214.2,1.9,Missing,,no,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
11150,b,2006,banking,banking,business application,financial transaction process/accounting,new development,pc,3GL,java,135.0,m1,5373.0,5373,39.8,39.8,14.8,9.1,Missing,,Missing,Missing,3,Missing,Missing,0.0
11155,b,2008,insurance,insurance,Missing,Missing,enhancement,mf,3GL,pl/i,264.0,m1,2187.0,2187,8.3,8.3,22.0,12.0,Missing,,Missing,Missing,3,Missing,Missing,0.0
11160,b,2004,Missing,Missing,business application,financial application area,enhancement,multi,3GL,java,94.0,s,620.0,620,6.6,6.6,36.2,2.6,Missing,,Missing,Missing,2,Missing,yes,0.0
11161,a,2005,government,government,business application,catalogue/register of things or events; document management; electronic data interchange,enhancement,multi,3GL,c#,270.0,m1,3430.0,3430,12.7,12.7,27.0,10.0,5-8,5.0,Missing,Missing,14,yes,yes,4.0
11162,b,2006,Missing,Missing,business application,financial transaction process/accounting,enhancement,multi,4GL,.net,,xs,56.0,56,,,,0.51,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
11164,b,2000,manufacturing,manufacturing,real-time application,fault tolerance,enhancement,pc,4GL,visual basic,107.0,m1,1013.0,1013,9.5,9.5,,,Missing,,don't know,Missing,4,no,yes,4.0
11169,b,2007,government,defence; government,business application,financial transaction process/accounting,enhancement,mf,3GL,cobol,19.0,xs,419.0,419,22.1,22.1,0.9,21.6,Missing,,Missing,Missing,2,no,Missing,0.0
11173,b,2005,communication,communications,mathematically-intensive application,relatively complex application,enhancement,mf,3GL,Missing,51.0,s,385.0,385,7.5,7.5,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
11175,a,2007,government,government,business application,"job, case, incident, project management; online analysis and reporting",enhancement,pc,4GL,visual basic,161.0,m1,1146.0,1146,7.1,7.1,32.2,5.0,3-4,4.0,Missing,Missing,14,no,yes,2.0
11180,b,2006,Missing,Missing,business application,financial transaction process/accounting,new development,multi,3GL,java,,m1,1774.0,1774,,,,6.0,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
11181,b,2005,banking,banking,business application,web-based application,enhancement,pc,3GL,java,,Missing,192.0,1950,,,,12.0,3-4,4.0,Missing,Missing,0,Missing,yes,0.0
11182,b,2014,insurance,insurance,business application,unknown,enhancement,Missing,4GL,oracle,58.0,s,55.0,55,0.9,0.9,41.4,1.4,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11185,a,2009,government,government,business application,catalogue/register of things or events,new development,multi,3GL,c#,1337.0,l,71729.0,71729,53.6,53.6,35.2,38.0,31-40,36.0,no,Missing,14,yes,yes,2.0
11188,b,1992,insurance,insurance,business application,management information system,enhancement,Missing,Missing,Missing,711.0,m2,,18840,,26.5,27.3,26.0,Missing,,don't know,Missing,4,don't know,Missing,0.0
11197,b,1994,financial,"financial, property & business services",business application,management information system,enhancement,mf,4GL,Missing,53.0,s,344.0,344,6.5,6.5,8.8,6.0,Missing,,no,Missing,5,no,Missing,6.0
11199,b,2015,communication,telecommunications,business application,online. esales,enhancement,multi,Missing,Missing,225.0,m1,4205.0,4205,18.7,18.7,34.1,6.6,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11200,b,2000,banking,banking,Missing,Missing,enhancement,mf,4GL,easytrieve,321.0,m2,592.0,592,1.8,1.8,64.2,5.0,Missing,,Missing,Missing,3,Missing,Missing,0.0
11202,b,2004,Missing,Missing,Missing,ms business platform,enhancement,Missing,3GL,c,316.0,m2,35.0,35,0.1,0.1,,,Missing,,Missing,Missing,2,Missing,Missing,0.0
11208,b,2009,manufacturing,manufacturing,business application,diagnostic tools,enhancement,Missing,3GL,sql,81.0,s,,900,,11.1,14.2,5.7,Missing,,yes,Missing,8,no,yes,4.0
11210,b,2014,insurance,insurance,business application,unknown,enhancement,Missing,3GL,pl/sql,146.0,m1,182.0,182,1.2,1.2,44.2,3.3,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11212,b,2004,Missing,Missing,Missing,Missing,enhancement,Missing,4GL,oracle,61.0,s,353.0,353,5.8,5.8,33.9,1.8,Missing,,Missing,Missing,2,yes,Missing,0.0
11213,b,2007,banking,banking,business application,financial transaction process/accounting,new development,mf,3GL,java,93.0,s,8123.0,8123,87.3,87.3,5.0,18.7,Missing,,Missing,Missing,3,Missing,Missing,0.0
11214,b,2015,communication,telecommunications,business application,integration,enhancement,Missing,3GL,tibco,96.0,s,1655.0,1655,17.2,17.2,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11217,b,2000,communication,communications,business application,transaction/production system,enhancement,mf,3GL,cobol,55.0,s,1028.0,1606,18.7,29.2,55.0,1.0,Missing,,Missing,Missing,4,no,Missing,0.0
11220,b,2005,electronics & computers,software products,Missing,web-based application,new development,pc,3GL,java,,Missing,500.0,528,,,,1.0,9-14,10.0,Missing,Missing,0,Missing,yes,0.0
11222,b,2000,Missing,Missing,Missing,Missing,enhancement,Missing,4GL,sql,116.0,m1,1400.0,1400,12.1,12.1,23.2,5.0,2,2.0,don't know,Missing,4,Missing,Missing,0.0
11225,b,2006,banking,banking,business application,financial transaction process/accounting,new development,mf,3GL,cobol,94.0,s,4065.0,4065,43.2,43.2,,,Missing,,Missing,Missing,3,Missing,Missing,0.0
11227,a,1995,manufacturing,manufacturing,business application,transaction/production system,new development,mf,3GL,cobol,53.0,s,281.0,296,5.3,5.6,17.7,3.0,5-8,5.0,don't know,Missing,5,no,yes,1.0
11230,b,2015,insurance,insurance,business application,electronic data interchange,enhancement,pc,3GL,java,108.0,m1,1142.0,1142,10.6,10.6,90.0,1.2,3-4,4.0,Missing,Missing,2,Missing,Missing,0.0
11231,b,2010,manufacturing,manufacturing,business application,accounting,enhancement,mr,4GL,abap,217.0,m1,,3765,,17.4,36.2,6.0,Missing,,Missing,Missing,8,yes,yes,2.0
11232,b,2003,communication,media,business application,stock control & order processing,enhancement,multi,Missing,centura,593.0,m2,1376.0,1376,2.3,2.3,121.0,4.9,Missing,,no,waterfall incl linear processing & ssadm,3,yes,yes,0.0
11241,a,2006,communication,communications; telecom,Missing,communication systrem,enhancement,pc,3GL,c,,Missing,3352.0,9340,,,,4.6,5-8,7.0,Missing,waterfall incl linear processing & ssadm,11,no,Missing,6.0
11242,b,2015,communication,telecommunications,business application,online. esales,enhancement,multi,Missing,Missing,67.0,s,1527.0,1527,22.8,22.8,14.3,4.7,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11244,b,2000,communication,communications,Missing,Missing,new development,mr,APG,telon,349.0,m2,579.0,579,1.7,1.7,10.0,35.0,Missing,,yes,Missing,7,Missing,Missing,3.0
11245,b,2010,manufacturing,manufacturing,business application,part management in factory,new development,mr,3GL,java,599.0,m2,,10960,,18.3,45.0,13.3,Missing,,yes,Missing,8,yes,yes,4.0
11251,b,2008,government,government,business application,customer billing/relationship management,new development,multi,3GL,c#,733.0,m2,4544.0,4544,6.2,6.2,56.4,13.0,5-8,5.0,no,Missing,14,yes,yes,6.0
11252,b,2005,communication,communications,mathematically-intensive application,relatively complex application,enhancement,multi,4GL,Missing,117.0,m1,3107.0,3107,26.6,26.6,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,yes,yes,0.0
11253,b,2011,manufacturing,manufacturing,business application,capacity management,enhancement,mr,3GL,java,193.0,m1,,2036,,10.5,19.7,9.8,Missing,,yes,Missing,8,yes,yes,4.0
11263,b,2012,logistics,logistics,business application,business application,enhancement,Missing,3GL,java,73.0,s,165.0,165,2.3,2.3,23.5,3.1,Missing,,Missing,Missing,2,Missing,Missing,0.0
11264,b,2000,insurance,insurance,business application,financial transaction process/accounting,enhancement,multi,3GL,visual basic,477.0,m2,10341.0,10341,21.7,21.7,159.0,3.0,Missing,,no,waterfall incl linear processing & ssadm,3,yes,yes,0.0
11267,b,2013,communication,telecommunications,mathematically-intensive application,customer relationship management,enhancement,multi,3GL,pl/sql,57.0,s,834.0,834,14.6,14.6,13.9,4.1,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11272,b,2004,communication,communications,Missing,Missing,enhancement,mf,3GL,cobol,,Missing,351.0,351,,,,4.0,5-8,5.0,Missing,Missing,0,Missing,yes,4.0
11273,b,2001,government,public administration,business application,management information system,new development,Missing,4GL,lotus notes,106.0,m1,290.0,530,2.7,5.0,53.0,2.0,2,2.0,Missing,Missing,3,yes,yes,0.0
11278,a,2010,service industry,community services,business application,complex process control; workflow support & management,enhancement,multi,3GL,javascript,89.0,s,4036.0,4036,45.3,45.3,17.8,5.0,9-14,9.0,no,agile development,16,yes,yes,2.0
11282,b,2013,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,10.0,xs,2170.0,2170,217.0,217.0,1.0,10.0,21-30,27.0,Missing,Missing,2,Missing,Missing,0.0
11283,b,2004,Missing,Missing,business application,financial application area,enhancement,multi,3GL,java,82.0,s,410.0,410,5.0,5.0,27.3,3.0,Missing,,Missing,Missing,2,Missing,yes,0.0
11285,a,2000,communication,communications,Missing,Missing,enhancement,Missing,3GL,c++,95.0,s,4220.0,4220,44.4,44.4,7.3,13.0,9-14,14.0,Missing,Missing,4,Missing,Missing,0.0
11289,b,2012,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,136.0,m1,18829.0,18829,138.4,138.4,9.7,14.0,101+,126.0,Missing,Missing,2,Missing,Missing,0.0
11296,b,2002,insurance,insurance,business application,financial transaction process/accounting,new development,mf,4GL,asp,242.0,m1,1581.0,1581,6.5,6.5,34.1,7.1,Missing,,no,waterfall incl linear processing & ssadm,3,don't know,yes,0.0
11301,b,2008,government,defence; government,business application,financial transaction process/accounting,enhancement,mf,3GL,cobol,24.0,xs,230.0,230,9.6,9.6,1.9,12.5,Missing,,Missing,Missing,2,no,Missing,0.0
11302,a,1999,communication,communications,business application,transaction/production system,enhancement,Missing,4GL,access,75.0,s,246.0,296,3.3,3.9,75.0,1.0,1,1.0,Missing,Missing,4,Missing,Missing,0.0
11303,b,2013,communication,telecommunications,business application,online. esales,enhancement,multi,Missing,Missing,76.0,s,754.0,754,9.9,9.9,18.1,4.2,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11305,b,1999,service industry,recreation & personnel services,business application,financial transaction process/accounting,new development,multi,4GL,lotus notes,556.0,m2,1805.0,1805,3.2,3.2,185.3,3.0,Missing,,no,waterfall incl linear processing & ssadm,3,yes,yes,0.0
11308,b,2004,Missing,Missing,Missing,Missing,enhancement,Missing,4GL,oracle,36.0,s,734.0,734,20.4,20.4,13.3,2.7,Missing,,Missing,Missing,2,yes,Missing,0.0
11309,b,2013,insurance,insurance,business application,unknown,enhancement,Missing,Missing,Missing,68.0,s,256.0,256,3.8,3.8,32.4,2.1,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11310,b,2004,financial,"financial, property & business services",business application,client server; financial transaction process/accounting,enhancement,multi,4GL,Missing,,xs,299.0,299,,,,3.0,Missing,,Missing,Missing,3,yes,Missing,0.0
11311,a,2010,construction,building automation,business application,gui for protocol; protocol enhancement,enhancement,multi,3GL,c,87.0,s,2624.0,2626,30.2,30.2,8.7,10.0,3-4,4.0,Missing,Missing,16,yes,Missing,4.0
11311,a,2010,construction,building automation,business application,gui for protocol; protocol enhancement,enhancement,multi,3GL,c,51.0,s,2624.0,2626,51.5,51.5,5.1,10.0,3-4,4.0,Missing,Missing,15,yes,Missing,4.0
11318,b,2015,communication,telecommunications,business application,geo information management,enhancement,multi,3GL,java,72.0,s,932.0,932,12.9,12.9,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11321,a,2006,government,government,business application,management of licences and permits,enhancement,mf,APG,cool:gen,123.0,m1,3321.0,3321,27.0,27.0,2.3,54.3,Missing,,Missing,Missing,8,Missing,Missing,0.0
11332,b,2013,insurance,insurance,business application,unknown,enhancement,Missing,Missing,formspath,55.0,s,76.0,76,1.4,1.4,36.7,1.5,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11333,b,2008,communication,communications; telecom,business application,inventory gathering and managing,enhancement,mr,4GL,coldfusion,723.0,m2,3214.0,3214,4.4,4.4,72.3,10.0,3-4,4.0,Missing,Missing,14,Missing,yes,4.0
11336,b,1999,Missing,Missing,business application,workflow support & management,new development,mf,3GL,cobol,3120.0,xl,16944.0,16944,5.4,5.4,224.5,13.9,9-14,12.0,no,Missing,2,yes,yes,1.0
11339,b,1998,Missing,Missing,Missing,Missing,enhancement,Missing,Missing,Missing,156.0,m1,901.0,901,5.8,5.8,39.0,4.0,Missing,,don't know,Missing,4,Missing,Missing,0.0
11342,b,2002,manufacturing,manufacturing,Missing,Missing,new development,Missing,Missing,Missing,299.0,m1,8772.0,8772,29.3,29.3,17.6,17.0,5-8,8.0,Missing,Missing,2,Missing,Missing,0.0
11343,a,1996,insurance,insurance,business application,transaction/production system,enhancement,mf,4GL,focus,143.0,m1,,1922,,13.4,35.8,4.0,Missing,,don't know,Missing,4,no,yes,2.0
11345,b,2005,wholesale & retail,consumer goods,Missing,embedded systems,new development,Missing,4GL,visual c++,,Missing,18086.0,71946,,,,9.4,9-14,11.0,Missing,Missing,0,Missing,Missing,0.0
11350,a,1998,insurance,insurance,Missing,Missing,re-development,mf,3GL,cobol,306.0,m2,,2082,,6.8,12.8,24.0,Missing,,no,joint application development jad; multifunctional teams,6,no,yes,8.0
11351,b,2015,communication,telecommunications,business application,stock control & order processing,enhancement,multi,Missing,Missing,54.0,s,1130.0,1130,20.9,20.9,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11353,b,2012,communication,telecommunications,business application,customer relationship management,enhancement,multi,3GL,java,108.0,m1,3911.0,3911,36.2,36.2,24.5,4.4,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
11355,b,2007,government,defence; government,business application,financial transaction process/accounting,enhancement,mf,3GL,cobol,79.0,s,1103.0,1103,14.0,14.0,3.7,21.6,Missing,,Missing,Missing,2,no,Missing,0.0
11361,b,2000,Missing,Missing,Missing,Missing,new development,Missing,3GL,c++,106.0,m1,323.0,324,3.0,3.1,53.0,2.0,2,2.0,don't know,Missing,4,Missing,Missing,0.0
11362,b,2013,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,24.0,xs,1892.0,1892,78.8,78.8,1.8,13.0,51-60,58.0,Missing,Missing,2,Missing,Missing,0.0
11368,a,1995,utilities,"electricity, gas, water",business application,management information system,new development,pc,4GL,access,244.0,m1,,191,,0.8,34.9,7.0,1,1.0,Missing,Missing,5,no,yes,0.0
11370,b,2006,manufacturing,manufacturing,real-time application,embedded system/real-time application,enhancement,mr,3GL,Missing,,s,2901.0,2901,,,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
11376,b,2004,financial,"financial, property & business services",business application,data warehouse; financial transaction process/accounting,enhancement,Missing,4GL,Missing,,s,378.0,378,,,,2.9,Missing,,Missing,Missing,3,Missing,Missing,0.0
11382,b,2010,manufacturing,manufacturing,business application,it projet management,enhancement,mr,3GL,java,149.0,m1,,1208,,8.1,30.4,4.9,Missing,,Missing,Missing,8,yes,yes,2.0
11383,b,2006,communication,communications,real-time application,embedded system/real-time application,enhancement,mf,3GL,Missing,,xs,275.0,275,,,,,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
11385,b,2000,Missing,Missing,business application,transaction/production system,new development,mf,2GL,assembler,115.0,m1,3562.0,3562,31.0,31.0,15.1,7.6,2,2.0,no,Missing,2,yes,yes,0.0
11392,b,2009,manufacturing,manufacturing,business application,customer management,new development,multi,3GL,java,2351.0,l,,51753,,22.0,117.6,20.0,Missing,,yes,Missing,8,yes,yes,4.0
11393,b,2004,Missing,Missing,Missing,Missing,enhancement,mr,3GL,visual basic,28.0,xs,947.0,947,33.8,33.8,6.8,4.1,Missing,,Missing,Missing,2,Missing,Missing,0.0
11394,b,1993,government,public administration,business application,management information system,new development,mr,4GL,sql,446.0,m2,1746.0,1746,3.9,3.9,29.7,15.0,Missing,,no,multifunctional teams,4,Missing,yes,1.0
11399,b,2004,financial,"financial, property & business services",business application,client server; financial transaction process/accounting,enhancement,multi,4GL,Missing,,xs,1967.0,1967,,,,7.8,Missing,,Missing,Missing,3,yes,Missing,0.0
11403,b,2006,Missing,Missing,business application,financial transaction process/accounting,new development,multi,3GL,java,,m1,565.0,565,,,,3.5,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,yes,0.0
